name,smiles,attach_atom_idx,frag_atom_idx,cap_atoms,fragment_smiles,total_count,molecule_count
fragment_00001,CC(C)(C)[C@H]1CC[C@H](C)CC1,7,8,"0,1,2,3,4,5,6,7,9,10",*C,159847,106357
fragment_00002,CC(C)(C)[C@H]1CC[C@H](OC)CC1,7,8,"0,1,2,3,4,5,6,7,10,11",*OC,51480,42649
fragment_00003,CC(C)(C)[C@H]1CC[C@H](CC)CC1,7,8,"0,1,2,3,4,5,6,7,10,11",*CC,34934,31369
fragment_00004,CC(C)(C)[C@H]1CC[C@H](c2ccccc2)CC1,7,8,"0,1,2,3,4,5,6,7,14,15",*c1ccccc1,32525,30747
fragment_00005,CC(C)(C)[C@H]1CC[C@H](C2CC2)CC1,7,8,"0,1,2,3,4,5,6,7,11,12",*C1CC1,10703,10283
fragment_00006,CC(C)(C)[C@H]1CC[C@H](C(C)C)CC1,7,8,"0,1,2,3,4,5,6,7,11,12",*C(C)C,10637,10314
fragment_00007,CC(C)(C)[C@H]1CC[C@H](c2ccc(F)cc2)CC1,7,8,"0,1,2,3,4,5,6,7,15,16",*c1ccc(F)cc1,7697,7610
fragment_00008,CC(C)(C)[C@H]1CC[C@H](C(C)=O)CC1,7,8,"0,1,2,3,4,5,6,7,11,12",*C(C)=O,7009,6854
fragment_00009,CC(C)(C)[C@H]1CC[C@H](CCC)CC1,7,8,"0,1,2,3,4,5,6,7,11,12",*CCC,6203,6080
fragment_00010,CC(C)(C)[C@H]1CC[C@H](C(F)(F)F)CC1,7,8,"0,1,2,3,4,5,6,7,12,13",*C(F)(F)F,6198,6107
fragment_00011,CC(C)(C)[C@H]1CC[C@H](c2ccc(Cl)cc2)CC1,7,8,"0,1,2,3,4,5,6,7,15,16",*c1ccc(Cl)cc1,5680,5640
fragment_00012,CC(C)(C)[C@H]1CC[C@H](c2cccs2)CC1,7,8,"0,1,2,3,4,5,6,7,13,14",*c1cccs1,5530,5443
fragment_00013,CC(C)(C)[C@H]1CC[C@H](C(=O)O)CC1,7,8,"0,1,2,3,4,5,6,7,11,12",*C(=O)[O-],5257,5179
fragment_00014,CC(C)(C)[C@H]1CC[C@H](c2ccco2)CC1,7,8,"0,1,2,3,4,5,6,7,13,14",*c1ccco1,5005,4936
fragment_00015,CC(C)(C)[C@H]1CC[C@H](N2CCOCC2)CC1,7,8,"0,1,2,3,4,5,6,7,14,15",*N1CCOCC1,4960,4922
fragment_00016,CC(C)(C)[C@H]1CC[C@H](N(C)C)CC1,7,8,"0,1,2,3,4,5,6,7,11,12",*N(C)C,4694,4647
fragment_00017,CC(C)(C)[C@H]1CC[C@H](C(N)=O)CC1,7,8,"0,1,2,3,4,5,6,7,11,12",*C(N)=O,4274,4269
fragment_00018,CC(C)(C)[C@H]1CC[C@H](c2ccccc2F)CC1,7,8,"0,1,2,3,4,5,6,7,15,16",*c1ccccc1F,4225,4194
fragment_00019,CC(C)(C)[C@H]1CC[C@H](c2ccccn2)CC1,7,8,"0,1,2,3,4,5,6,7,14,15",*c1ccccn1,3656,3640
