fragment_smiles,total_count,molecule_count,rank,total_fraction,molecule_fraction
*C,159847,106357,1,0.6407849111062115,0.4263574592611894
*OC,51480,42649,2,0.2063698863522479,0.17096871179170592
*CC,34934,31369,3,0.14004129001222665,0.12575013529494297
*c1ccccc1,32525,30747,4,0.13038423763805096,0.1232566996051392
*C1CC1,10703,10283,5,0.042905534064260085,0.04122186366278487
*C(C)C,10637,10314,6,0.04264095728688541,0.04134613457336995
*c1ccc(F)cc1,7697,7610,7,0.030855264476558897,0.03050650417911046
*C(C)=O,7009,6854,8,0.02809725200938045,0.02747589745645507
*CCC,6203,6080,9,0.02486620833416849,0.024373133430879317
*C(F)(F)F,6198,6107,10,0.02484616463891283,0.024481369385259865
*C(C)(C)C,5787,5733,11,0.023198572888897796,0.0229821009801367
*c1ccc(Cl)cc1,5680,5640,12,0.02276963781042673,0.022609288248381473
*c1cccs1,5530,5443,13,0.02216832695275701,0.021819566655308573
*C(=O)[O-],5257,5179,14,0.02107394119179812,0.020761259545809867
*c1ccco1,5005,4936,15,0.020063738950912992,0.01978713595638492
*N1CCOCC1,4960,4922,16,0.019883345693612074,0.019731013609669078
*N(C)C,4694,4647,17,0.018817021106011106,0.018628610370607927
*C(N)=O,4274,4269,18,0.017133350704535887,0.01711330700928023
*c1ccccc1F,4225,4194,19,0.016936922491030446,0.01681265158044537
*c1ccccn1,3656,3640,20,0.014655949970936642,0.014591810146118538
*[NH+](C)C,3546,3536,21,0.01421498867531218,0.014174901284800865
*c1cccnc1,3508,3487,22,0.014062656591369184,0.013978473071295424
*C1CCCC1,3402,3387,23,0.013637730251949249,0.013577599166182277
*SC,3382,3362,24,0.01355755547092662,0.01347738068990399
*C1CCCCC1,3363,3329,25,0.013481389428955123,0.013345092301216652
*c1ccccc1Cl,3301,3290,26,0.01323284760778497,0.013188751478222524
*NC,3168,3160,27,0.012699685313984486,0.012667615401575434
*c1cccc(F)c1,3088,3080,28,0.012378986189893968,0.012346916277484916
*c1ccncc1,3054,3043,29,0.012242689062155499,0.012198592932593053
*CC(C)C,2973,2926,30,0.01191798119901385,0.01172957046361067
*c1cccc(Cl)c1,2870,2861,31,0.011505081076747308,0.011469002425287126
*N1CCCC1,2510,2500,32,0.010061935018339982,0.010021847627828666
*CO,2350,2328,33,0.009420536770158947,0.009332344511034055
*[C@@H]1CCCO1,2076,2069,34,0.008322142270148925,0.008294081096791004
*CC=C,2071,1996,35,0.008302098574893267,0.008001443146058407
*[NH2+]C,1922,1922,36,0.0077047964562746785,0.0077047964562746785
*c1ccc2c(c1)OCO2,1845,1840,37,0.007396123549337556,0.007376079854081899
*S(C)(=O)=O,1766,1761,38,0.00707943316429817,0.007059389469042512
*[C@H]1CCCO1,1760,1755,39,0.0070553807299913816,0.007035337034735724
*c1ccc(Br)cc1,1679,1676,40,0.006730672866849733,0.006718646649696338
*N1CCCCC1,1676,1660,41,0.006718646649696338,0.006654506824878234
*n1cccn1,1606,1603,42,0.006438034916117136,0.006426008698963741
*CCCC,1595,1591,43,0.0063939387865546895,0.0063779038303501635
*c1ccsc1,1492,1486,44,0.005981038664288148,0.0059569862299813595
*CC(F)(F)F,1478,1477,45,0.0059249163175723076,0.005920907578521176
*c1nccs1,1404,1401,46,0.005628269627788579,0.005616243410635185
*[NH+]1CCCC1,1398,1397,47,0.00560421719348179,0.005600208454430659
*CCO,1310,1289,48,0.005251448156982221,0.00516726463690846
*c1ccc(F)cc1F,1299,1298,49,0.005207352027419775,0.005203343288368643
*C[NH3+],1283,1283,50,0.005143212202601672,0.005143212202601672
*CC(=O)[O-],1245,1230,51,0.004990880118658676,0.004930749032891704
*c1ccc(F)c(F)c1,1241,1241,52,0.00497484516245415,0.00497484516245415
*c1ccc([N+](=O)[O-])cc1,1233,1229,53,0.004942775250045098,0.004926740293840572
*OC(F)F,1187,1173,54,0.004758373253693051,0.00470225090697721
*c1ccc2c(c1)OCCO2,1157,1156,55,0.004638111082159107,0.004634102343107975
*N1CCCC1=O,1086,1084,56,0.004353490609528773,0.00434547313142651
*c1ccc(C#N)cc1,1069,1066,57,0.004285342045659538,0.004273315828506144
*C1CCC1,1066,1065,58,0.004273315828506144,0.004269307089455012
*n1cncn1,1057,1056,59,0.00423723717704596,0.004233228437994829
*[NH+]1CCCCC1,1034,1033,60,0.004145036178869937,0.004141027439818805
*c1nc2ccccc2s1,992,990,61,0.003976669138722415,0.003968651660620152
*c1cccc([N+](=O)[O-])c1,987,984,62,0.003956625443466757,0.003944599226313363
*c1ccc(Cl)cc1Cl,973,972,63,0.0039005030967509168,0.0038964943576997855
*c1cccc2ccccc12,967,967,64,0.0038764506624441282,0.0038764506624441282
*c1cccc(Br)c1,950,949,65,0.0038083020985748934,0.0038042933595237617
*c1ncccn1,937,935,66,0.003756188490910184,0.003748171012807921
*C(=O)CC,930,925,67,0.003728127317552264,0.0037080836222966066
*CC#C,920,870,68,0.0036880399270409494,0.003487602974484376
*CC(N)=O,905,898,69,0.003627908841273977,0.003599847667916057
*[C@@H]1CCS(=O)(=O)C1,851,850,70,0.003411436932512878,0.0034074281934617467
*c1c(F)cccc1F,843,842,71,0.0033793670201038265,0.0033753582810526947
*C1CCOCC1,842,839,72,0.0033753582810526947,0.0033633320638993005
*[C@H](C)CC,837,835,73,0.0033553145857970375,0.0033472971076947745
*[C@@H](C)CC,823,818,74,0.003299192239081197,0.0032791485438255397
*c1cccc(C#N)c1,819,818,75,0.003283157282876671,0.0032791485438255397
*CC#N,815,783,76,0.0032671223266721454,0.0031388426770359384
*c1ccc(Cl)c(Cl)c1,786,786,77,0.0031508688941893326,0.0031508688941893326
*c1ccccc1Br,779,779,78,0.0031228077208314124,0.0031228077208314124
*c1c[nH]c2ccccc12,778,776,79,0.003118798981780281,0.003110781503678018
*c1ccc(O)cc1,771,767,80,0.003090737808422361,0.003074702852217835
*[C@H]1CCS(=O)(=O)C1,747,745,81,0.0029945280711952058,0.0029865105930929428
*CCC(C)C,737,736,82,0.0029544406806838908,0.0029504319416327595
*n1ccnc1,725,723,83,0.0029063358120703132,0.0028983183339680503
*c1ccc2ccccc2c1,684,684,84,0.002741977510973923,0.002741977510973923
*N1CCCCCC1,672,670,85,0.0026938726423603454,0.0026858551642580824
*c1cc(F)ccc1F,650,650,86,0.0026056803832354533,0.0026056803832354533
*c1cnccn1,618,617,87,0.0024774007335992463,0.002473391994548115
*C(=O)C(C)C,611,607,88,0.002449339560241326,0.0024333046040368
*c1ccoc1,605,603,89,0.0024252871259345375,0.0024172696478322745
*c1ccc(Cl)s1,604,603,90,0.0024212783868834058,0.0024172696478322745
*c1nc2ccccc2[nH]1,599,597,91,0.0024012346916277485,0.0023932172135254855
*c1ccccc1[N+](=O)[O-],597,597,92,0.0023932172135254855,0.0023932172135254855
*CCC#N,568,548,93,0.002276963781042673,0.0021967890000200436
*n1cccc1,563,562,94,0.002256920085787016,0.002252911346735884
*c1ccccc1O,555,554,95,0.002224850173377964,0.0022208414343268326
*c1cccc(O)c1,511,510,96,0.0020484656551281793,0.002044456916077048
*C(=O)C(C)(C)C,503,501,97,0.0020163957427191278,0.0020083782646168648
*OC(F)(F)F,501,501,98,0.0020083782646168648,0.0020083782646168648
*N1CCc2ccccc21,494,494,99,0.0019803170912589445,0.0019803170912589445
*n1cnnn1,480,480,100,0.001924194744543104,0.001924194744543104
*C12CC3CC(CC(C3)C1)C2,476,476,101,0.001908159788338578,0.001908159788338578
*c1ccccc1C#N,474,474,102,0.0019001423102363152,0.0019001423102363152
*S(=O)(=O)c1ccccc1,471,469,103,0.0018881160930829207,0.0018800986149806577
*[C@@H]1CCOC1,467,467,104,0.001872081136878395,0.001872081136878395
*C(=O)CCC,451,450,105,0.0018079413120602914,0.00180393257300916
*c1c(F)cccc1Cl,449,449,106,0.0017999238339580284,0.0017999238339580284
*CC(F)F,446,446,107,0.0017878976168046342,0.0017878976168046342
*c1cc(F)cc(F)c1,408,407,108,0.0016355655328616383,0.0016315567938105068
*c1ccc(F)cc1Cl,405,405,109,0.001623539315708244,0.001623539315708244
*N1C(=O)c2ccccc2C1=O,401,400,110,0.001607504359503718,0.0016034956204525866
*C1CCCCCC1,390,389,111,0.001563408229941272,0.0015593994908901405
*[C@H]1CCOC1,390,389,112,0.001563408229941272,0.0015593994908901405
*c1cc2ccccc2o1,385,385,113,0.0015433645346856146,0.0015433645346856146
*n1cc[nH+]c1,373,373,114,0.001495259666072037,0.001495259666072037
*N,372,372,115,0.0014912509270209055,0.0014912509270209055
*c1cc(Cl)ccc1Cl,371,371,116,0.001487242187969774,0.001487242187969774
*c1ccc(F)c(Cl)c1,359,358,117,0.0014391373193561965,0.001435128580305065
*N1CCc2ccccc2C1,357,356,118,0.0014311198412539335,0.0014271111022028022
*C(F)F,351,348,119,0.0014070674069471447,0.0013950411897937505
*c1ccc2c(c1)CCC2,351,351,120,0.0014070674069471447,0.0014070674069471447
*c1ccc(S(C)(=O)=O)cc1,346,345,121,0.0013870237116914875,0.001383014972640356
*c1c(Cl)cccc1Cl,345,345,122,0.001383014972640356,0.001383014972640356
*c1cccc(Cl)c1Cl,344,344,123,0.0013790062335892245,0.0013790062335892245
*c1ccc(S(N)(=O)=O)cc1,340,340,124,0.0013629712773846987,0.0013629712773846987
*C(CC)CC,338,338,125,0.0013549537992824357,0.0013549537992824357
*C1CC[NH2+]CC1,336,336,126,0.0013469363211801727,0.0013469363211801727
*c1cccc[nH+]1,332,332,127,0.001330901364975647,0.001330901364975647
*c1nnc2ccccn12,332,332,128,0.001330901364975647,0.001330901364975647
*c1nc2ccccc2o1,324,324,129,0.0012988314525665952,0.0012988314525665952
