name,smiles,attach_atom_idx,frag_atom_idx,cap_atoms,fragment_smiles,total_count,molecule_count
fragment_00001,c1ccc(C)cc1,3,4,"0,1,2,3,5,6",*C,159847,106357
fragment_00002,c1ccc(OC)cc1,3,4,"0,1,2,3,6,7",*OC,51480,42649
fragment_00003,c1ccc(CC)cc1,3,4,"0,1,2,3,6,7",*CC,34934,31369
fragment_00004,c1ccc(-c2ccccc2)cc1,3,4,"0,1,2,3,10,11",*c1ccccc1,32525,30747
fragment_00005,c1ccc(C2CC2)cc1,3,4,"0,1,2,3,7,8",*C1CC1,10703,10283
fragment_00006,c1ccc(C(C)C)cc1,3,4,"0,1,2,3,7,8",*C(C)C,10637,10314
fragment_00007,c1ccc(-c2ccc(F)cc2)cc1,3,4,"0,1,2,3,11,12",*c1ccc(F)cc1,7697,7610
fragment_00008,c1ccc(C(C)=O)cc1,3,4,"0,1,2,3,7,8",*C(C)=O,7009,6854
fragment_00009,c1ccc(CCC)cc1,3,4,"0,1,2,3,7,8",*CCC,6203,6080
fragment_00010,c1ccc(C(F)(F)F)cc1,3,4,"0,1,2,3,8,9",*C(F)(F)F,6198,6107
fragment_00011,c1ccc(C(C)(C)C)cc1,3,4,"0,1,2,3,8,9",*C(C)(C)C,5787,5733
fragment_00012,c1ccc(-c2ccc(Cl)cc2)cc1,3,4,"0,1,2,3,11,12",*c1ccc(Cl)cc1,5680,5640
fragment_00013,c1ccc(-c2cccs2)cc1,3,4,"0,1,2,3,9,10",*c1cccs1,5530,5443
fragment_00014,c1ccc(C(=O)O)cc1,3,4,"0,1,2,3,7,8",*C(=O)[O-],5257,5179
fragment_00015,c1ccc(-c2ccco2)cc1,3,4,"0,1,2,3,9,10",*c1ccco1,5005,4936
fragment_00016,c1ccc(N2CCOCC2)cc1,3,4,"0,1,2,3,10,11",*N1CCOCC1,4960,4922
fragment_00017,c1ccc(N(C)C)cc1,3,4,"0,1,2,3,7,8",*N(C)C,4694,4647
fragment_00018,c1ccc(C(N)=O)cc1,3,4,"0,1,2,3,7,8",*C(N)=O,4274,4269
fragment_00019,c1ccc(-c2ccccc2F)cc1,3,4,"0,1,2,3,11,12",*c1ccccc1F,4225,4194
fragment_00020,c1ccc(-c2ccccn2)cc1,3,4,"0,1,2,3,10,11",*c1ccccn1,3656,3640
fragment_00021,c1ccc(-c2cccnc2)cc1,3,4,"0,1,2,3,10,11",*c1cccnc1,3508,3487
fragment_00022,c1ccc(C2CCCC2)cc1,3,4,"0,1,2,3,9,10",*C1CCCC1,3402,3387
fragment_00023,c1ccc(SC)cc1,3,4,"0,1,2,3,6,7",*SC,3382,3362
fragment_00024,c1ccc(C2CCCCC2)cc1,3,4,"0,1,2,3,10,11",*C1CCCCC1,3363,3329
fragment_00025,c1ccc(-c2ccccc2Cl)cc1,3,4,"0,1,2,3,11,12",*c1ccccc1Cl,3301,3290
fragment_00026,c1ccc(NC)cc1,3,4,"0,1,2,3,6,7",*NC,3168,3160
fragment_00027,c1ccc(-c2cccc(F)c2)cc1,3,4,"0,1,2,3,11,12",*c1cccc(F)c1,3088,3080
fragment_00028,c1ccc(-c2ccncc2)cc1,3,4,"0,1,2,3,10,11",*c1ccncc1,3054,3043
fragment_00029,c1ccc(CC(C)C)cc1,3,4,"0,1,2,3,8,9",*CC(C)C,2973,2926
fragment_00030,c1ccc(-c2cccc(Cl)c2)cc1,3,4,"0,1,2,3,11,12",*c1cccc(Cl)c1,2870,2861
fragment_00031,c1ccc(N2CCCC2)cc1,3,4,"0,1,2,3,9,10",*N1CCCC1,2510,2500
fragment_00032,c1ccc(CO)cc1,3,4,"0,1,2,3,6,7",*CO,2350,2328
fragment_00033,c1ccc([C@@H]2CCCO2)cc1,3,4,"0,1,2,3,9,10",*[C@@H]1CCCO1,2076,2069
fragment_00034,c1ccc(CC=C)cc1,3,4,"0,1,2,3,7,8",*CC=C,2071,1996
fragment_00035,c1ccc(-c2ccc3c(c2)OCO3)cc1,3,4,"0,1,2,3,13,14",*c1ccc2c(c1)OCO2,1845,1840
fragment_00036,c1ccc(S(C)(=O)=O)cc1,3,4,"0,1,2,3,8,9",*S(C)(=O)=O,1766,1761
fragment_00037,c1ccc([C@H]2CCCO2)cc1,3,4,"0,1,2,3,9,10",*[C@H]1CCCO1,1760,1755
fragment_00038,c1ccc(-c2ccc(Br)cc2)cc1,3,4,"0,1,2,3,11,12",*c1ccc(Br)cc1,1679,1676
fragment_00039,c1ccc(N2CCCCC2)cc1,3,4,"0,1,2,3,10,11",*N1CCCCC1,1676,1660
fragment_00040,c1ccc(-n2cccn2)cc1,3,4,"0,1,2,3,9,10",*n1cccn1,1606,1603
fragment_00041,c1ccc(CCCC)cc1,3,4,"0,1,2,3,8,9",*CCCC,1595,1591
fragment_00042,c1ccc(-c2ccsc2)cc1,3,4,"0,1,2,3,9,10",*c1ccsc1,1492,1486
fragment_00043,c1ccc(CC(F)(F)F)cc1,3,4,"0,1,2,3,9,10",*CC(F)(F)F,1478,1477
fragment_00044,c1ccc(-c2nccs2)cc1,3,4,"0,1,2,3,9,10",*c1nccs1,1404,1401
fragment_00045,c1ccc(CCO)cc1,3,4,"0,1,2,3,7,8",*CCO,1310,1289
fragment_00046,c1ccc(-c2ccc(F)cc2F)cc1,3,4,"0,1,2,3,12,13",*c1ccc(F)cc1F,1299,1298
fragment_00047,c1ccc(CN)cc1,3,4,"0,1,2,3,6,7",*C[NH3+],1283,1283
fragment_00048,c1ccc(CC(=O)O)cc1,3,4,"0,1,2,3,8,9",*CC(=O)[O-],1245,1230
fragment_00049,c1ccc(-c2ccc(F)c(F)c2)cc1,3,4,"0,1,2,3,12,13",*c1ccc(F)c(F)c1,1241,1241
fragment_00050,c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,3,4,"0,1,2,3,13,14",*c1ccc([N+](=O)[O-])cc1,1233,1229
fragment_00051,c1ccc(OC(F)F)cc1,3,4,"0,1,2,3,8,9",*OC(F)F,1187,1173
fragment_00052,c1ccc(-c2ccc3c(c2)OCCO3)cc1,3,4,"0,1,2,3,14,15",*c1ccc2c(c1)OCCO2,1157,1156
fragment_00053,c1ccc(N2CCCC2=O)cc1,3,4,"0,1,2,3,10,11",*N1CCCC1=O,1086,1084
fragment_00054,c1ccc(-c2ccc(C#N)cc2)cc1,3,4,"0,1,2,3,12,13",*c1ccc(C#N)cc1,1069,1066
fragment_00055,c1ccc(C2CCC2)cc1,3,4,"0,1,2,3,8,9",*C1CCC1,1066,1065
