name,smiles,attach_atom_idx,frag_atom_idx,cap_atoms,fragment_smiles,total_count,molecule_count
fragment_00001,CC(C)(C)C,1,4,"0,1,2,3",*C,159847,106357
fragment_00002,CC(C)(C)OC,1,4,"0,1,2,3",*OC,51480,42649
fragment_00003,CC(C)(C)CC,1,4,"0,1,2,3",*CC,34934,31369
fragment_00004,CC(C)(C)c1ccccc1,1,4,"0,1,2,3",*c1ccccc1,32525,30747
fragment_00005,CC(C)(C)C1CC1,1,4,"0,1,2,3",*C1CC1,10703,10283
fragment_00006,CC(C)(C)C(C)C,1,4,"0,1,2,3",*C(C)C,10637,10314
fragment_00007,CC(C)(C)c1ccc(F)cc1,1,4,"0,1,2,3",*c1ccc(F)cc1,7697,7610
fragment_00008,CC(C)(C)C(C)=O,1,4,"0,1,2,3",*C(C)=O,7009,6854
fragment_00009,CC(C)(C)CCC,1,4,"0,1,2,3",*CCC,6203,6080
fragment_00010,CC(C)(C)C(F)(F)F,1,4,"0,1,2,3",*C(F)(F)F,6198,6107
fragment_00011,CC(C)(C)C(C)(C)C,1,4,"0,1,2,3",*C(C)(C)C,5787,5733
fragment_00012,CC(C)(C)c1ccc(Cl)cc1,1,4,"0,1,2,3",*c1ccc(Cl)cc1,5680,5640
fragment_00013,CC(C)(C)c1cccs1,1,4,"0,1,2,3",*c1cccs1,5530,5443
fragment_00014,CC(C)(C)C(=O)O,1,4,"0,1,2,3",*C(=O)[O-],5257,5179
fragment_00015,CC(C)(C)c1ccco1,1,4,"0,1,2,3",*c1ccco1,5005,4936
fragment_00016,CC(C)(C)N1CCOCC1,1,4,"0,1,2,3",*N1CCOCC1,4960,4922
fragment_00017,CC(C)(C)N(C)C,1,4,"0,1,2,3",*N(C)C,4694,4647
fragment_00018,CC(C)(C)C(N)=O,1,4,"0,1,2,3",*C(N)=O,4274,4269
fragment_00019,CC(C)(C)c1ccccc1F,1,4,"0,1,2,3",*c1ccccc1F,4225,4194
fragment_00020,CC(C)(C)c1ccccn1,1,4,"0,1,2,3",*c1ccccn1,3656,3640
fragment_00021,CC(C)(C)c1cccnc1,1,4,"0,1,2,3",*c1cccnc1,3508,3487
fragment_00022,CC(C)(C)C1CCCC1,1,4,"0,1,2,3",*C1CCCC1,3402,3387
fragment_00023,CC(C)(C)SC,1,4,"0,1,2,3",*SC,3382,3362
fragment_00024,CC(C)(C)C1CCCCC1,1,4,"0,1,2,3",*C1CCCCC1,3363,3329
fragment_00025,CC(C)(C)c1ccccc1Cl,1,4,"0,1,2,3",*c1ccccc1Cl,3301,3290
fragment_00026,CC(C)(C)NC,1,4,"0,1,2,3",*NC,3168,3160
fragment_00027,CC(C)(C)c1cccc(F)c1,1,4,"0,1,2,3",*c1cccc(F)c1,3088,3080
fragment_00028,CC(C)(C)c1ccncc1,1,4,"0,1,2,3",*c1ccncc1,3054,3043
fragment_00029,CC(C)(C)CC(C)C,1,4,"0,1,2,3",*CC(C)C,2973,2926
fragment_00030,CC(C)(C)c1cccc(Cl)c1,1,4,"0,1,2,3",*c1cccc(Cl)c1,2870,2861
fragment_00031,CC(C)(C)N1CCCC1,1,4,"0,1,2,3",*N1CCCC1,2510,2500
fragment_00032,CC(C)(C)CO,1,4,"0,1,2,3",*CO,2350,2328
fragment_00033,CC(C)(C)[C@@H]1CCCO1,1,4,"0,1,2,3",*[C@@H]1CCCO1,2076,2069
fragment_00034,CC(C)(C)CC=C,1,4,"0,1,2,3",*CC=C,2071,1996
fragment_00035,CC(C)(C)c1ccc2c(c1)OCO2,1,4,"0,1,2,3",*c1ccc2c(c1)OCO2,1845,1840
fragment_00036,CC(C)(C)S(C)(=O)=O,1,4,"0,1,2,3",*S(C)(=O)=O,1766,1761
fragment_00037,CC(C)(C)[C@H]1CCCO1,1,4,"0,1,2,3",*[C@H]1CCCO1,1760,1755
fragment_00038,CC(C)(C)c1ccc(Br)cc1,1,4,"0,1,2,3",*c1ccc(Br)cc1,1679,1676
fragment_00039,CC(C)(C)N1CCCCC1,1,4,"0,1,2,3",*N1CCCCC1,1676,1660
fragment_00040,CC(C)(C)n1cccn1,1,4,"0,1,2,3",*n1cccn1,1606,1603
fragment_00041,CC(C)(C)CCCC,1,4,"0,1,2,3",*CCCC,1595,1591
fragment_00042,CC(C)(C)c1ccsc1,1,4,"0,1,2,3",*c1ccsc1,1492,1486
fragment_00043,CC(C)(C)CC(F)(F)F,1,4,"0,1,2,3",*CC(F)(F)F,1478,1477
fragment_00044,CC(C)(C)c1nccs1,1,4,"0,1,2,3",*c1nccs1,1404,1401
fragment_00045,CC(C)(C)CCO,1,4,"0,1,2,3",*CCO,1310,1289
fragment_00046,CC(C)(C)c1ccc(F)cc1F,1,4,"0,1,2,3",*c1ccc(F)cc1F,1299,1298
fragment_00047,CC(C)(C)CN,1,4,"0,1,2,3",*C[NH3+],1283,1283
fragment_00048,CC(C)(C)CC(=O)O,1,4,"0,1,2,3",*CC(=O)[O-],1245,1230
fragment_00049,CC(C)(C)c1ccc(F)c(F)c1,1,4,"0,1,2,3",*c1ccc(F)c(F)c1,1241,1241
fragment_00050,CC(C)(C)c1ccc([N+](=O)[O-])cc1,1,4,"0,1,2,3",*c1ccc([N+](=O)[O-])cc1,1233,1229
fragment_00051,CC(C)(C)OC(F)F,1,4,"0,1,2,3",*OC(F)F,1187,1173
