mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,231.605,49.079
mol_0004_0001.xyz,3,C,263.099,43.203
mol_0005_0001.xyz,7,C,252.08,52.656
mol_0006_0001.xyz,24,C,271.902,49.703
mol_0007_0001.xyz,4,C,287.376,46.471
mol_0008_0001.xyz,8,C,220.469,44.963
mol_0009_0001.xyz,31,C,396.915,53.157
mol_0011_0001.xyz,11,C,295.765,53.438
mol_0013_0001.xyz,7,C,327.861,47.008
mol_0014_0001.xyz,23,C,298.444,48.544
mol_0016_0001.xyz,4,C,276.426,42.751
mol_0021_0001.xyz,11,C,266.647,55.498
mol_0022_0001.xyz,16,C,306.708,39.926
mol_0025_0001.xyz,14,C,243.039,45.568
mol_0027_0001.xyz,18,C,275.258,60.443
mol_0028_0001.xyz,12,C,169.56,39.287
mol_0029_0001.xyz,8,C,280.249,42.903
mol_0030_0001.xyz,25,C,390.172,58.378
mol_0032_0001.xyz,3,C,271.029,59.338
mol_0033_0001.xyz,27,C,337.794,54.133
mol_0037_0001.xyz,23,C,326.323,38.253
mol_0038_0001.xyz,19,C,287.525,44.38
mol_0043_0001.xyz,24,C,358.395,61.132
mol_0047_0001.xyz,15,C,304.066,35.789
mol_0048_0001.xyz,9,C,228.686,71.719
mol_0049_0001.xyz,4,C,277.246,42.978
mol_0050_0001.xyz,14,C,302.968,52.362
mol_0051_0001.xyz,23,C,289.99,38.349
mol_0052_0001.xyz,22,C,287.448,46.727
mol_0054_0001.xyz,12,C,279.322,50.403
mol_0057_0001.xyz,9,C,194.764,51.633
mol_0058_0001.xyz,5,C,295.526,47.095
mol_0060_0001.xyz,18,C,226.078,69.491
mol_0062_0001.xyz,1,C,193.191,36.731
mol_0064_0001.xyz,16,C,336.102,50.89
mol_0068_0001.xyz,17,C,282.085,50.72
mol_0070_0001.xyz,5,C,285.239,56.927
mol_0075_0001.xyz,4,C,274.104,54.656
mol_0077_0001.xyz,12,C,300.986,51.312
mol_0078_0001.xyz,5,C,260.96,44.547
mol_0079_0001.xyz,13,C,271.165,45.292
mol_0080_0001.xyz,6,C,286.318,47.838
mol_0082_0001.xyz,2,C,312.199,58.901
mol_0085_0001.xyz,8,C,299.779,58.955
mol_0086_0001.xyz,2,C,279.166,50.128
mol_0088_0001.xyz,5,C,217.391,50.236
mol_0090_0001.xyz,14,C,297.515,58.012
mol_0091_0001.xyz,18,C,286.801,45.122
mol_0094_0001.xyz,22,C,299.782,49.437
mol_0095_0001.xyz,19,C,286.297,39.07
mol_0098_0001.xyz,15,C,280.964,45.245
mol_0100_0001.xyz,11,C,290.324,49.74
mol_0102_0001.xyz,11,C,258.04,51.26
mol_0105_0001.xyz,19,C,278.753,33.594
mol_0106_0001.xyz,5,C,252.615,57.249
mol_0110_0001.xyz,30,C,348.627,41.446
mol_0111_0001.xyz,22,C,300.553,51.442
mol_0112_0001.xyz,27,C,336.149,46.247
mol_0113_0001.xyz,20,C,368.818,52.03
mol_0114_0001.xyz,18,C,398.864,66.141
mol_0116_0001.xyz,3,C,286.419,57.376
mol_0117_0001.xyz,15,C,300.277,45.188
mol_0118_0001.xyz,5,C,268.529,63.124
mol_0119_0001.xyz,7,C,262.434,48.744
mol_0121_0001.xyz,6,C,235.031,39.601
mol_0122_0001.xyz,10,C,157.869,40.097
mol_0123_0001.xyz,13,C,293.693,47.198
mol_0124_0001.xyz,9,C,183.982,46.372
mol_0125_0001.xyz,19,C,287.451,53.6
mol_0130_0001.xyz,11,C,339.437,41.317
mol_0131_0001.xyz,5,C,274.157,57.142
mol_0132_0001.xyz,23,C,356.161,43.512
mol_0134_0001.xyz,22,C,299.777,51.675
mol_0136_0001.xyz,11,C,183.244,49.929
mol_0137_0001.xyz,1,C,268.751,29.617
mol_0138_0001.xyz,6,C,184.727,59.741
mol_0141_0001.xyz,17,C,277.775,30.541
mol_0143_0001.xyz,11,C,234.864,64.94
mol_0144_0001.xyz,6,C,273.708,57.259
mol_0147_0001.xyz,18,C,269.642,40.183
mol_0150_0001.xyz,9,C,314.132,53.834
mol_0151_0001.xyz,19,C,231.418,50.685
mol_0152_0001.xyz,13,C,369.955,53.915
mol_0155_0001.xyz,20,C,278.229,38.33
mol_0160_0001.xyz,18,C,215.129,50.861
mol_0163_0001.xyz,4,C,335.31,60.19
mol_0165_0001.xyz,25,C,342.783,50.808
mol_0167_0001.xyz,18,C,236.41,49.417
mol_0170_0001.xyz,22,C,282.688,41.543
mol_0173_0001.xyz,3,C,223.418,39.703
mol_0175_0001.xyz,18,C,280.952,52.295
mol_0177_0001.xyz,13,C,253.035,41.861
mol_0180_0001.xyz,20,C,342.074,61.138
mol_0181_0001.xyz,19,C,302.024,37.002
mol_0183_0001.xyz,1,C,219.312,35.732
mol_0184_0001.xyz,12,C,283.017,57.454
mol_0187_0001.xyz,20,C,352.398,49.551
mol_0190_0001.xyz,26,C,284.458,52.049
mol_0202_0001.xyz,14,C,288.093,46.938
mol_0203_0001.xyz,19,C,307.143,45.605
mol_0204_0001.xyz,14,C,293.107,41.458
mol_0205_0001.xyz,21,C,333.012,39.833
mol_0210_0001.xyz,12,C,296.044,37.253
mol_0211_0001.xyz,5,C,253.38,42.623
mol_0212_0001.xyz,18,C,260.794,36.519
mol_0215_0001.xyz,5,C,208.177,39.636
mol_0216_0001.xyz,22,C,303.164,52.919
mol_0218_0001.xyz,27,C,294.33,41.479
mol_0219_0001.xyz,22,C,312.558,42.014
mol_0220_0001.xyz,8,C,262.369,51.355
mol_0221_0001.xyz,5,C,232.773,71.217
mol_0222_0001.xyz,26,C,338.29,42.754
mol_0225_0001.xyz,6,C,369.6,62.949
mol_0226_0001.xyz,21,C,314.937,39.623
mol_0231_0001.xyz,7,C,337.407,61.322
mol_0236_0001.xyz,3,C,290.609,42.699
mol_0239_0001.xyz,16,C,329.259,53.793
mol_0242_0001.xyz,20,C,286.145,43.056
mol_0243_0001.xyz,10,C,225.96,38.964
mol_0245_0001.xyz,2,C,329.01,42.483
mol_0246_0001.xyz,16,C,271.012,50.868
mol_0248_0001.xyz,12,C,187.519,37.19
mol_0251_0001.xyz,6,C,324.131,43.51
mol_0253_0001.xyz,12,C,229.193,43.537
mol_0254_0001.xyz,1,C,388.314,28.642
mol_0256_0001.xyz,9,C,263.305,52.963
