
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Bondi atomic radii will be scaled by 1.0
   Hydrogen atoms are included

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
   ------------------------------------------------------------------
     mol_0002_0001.xyz      1   3.50     237.54      38.44       0.00
     mol_0003_0001.xyz      1   3.50     231.77      27.65       0.00
     mol_0004_0001.xyz      1   3.50     265.16      28.74       0.00
     mol_0005_0001.xyz      1   3.50     253.60      38.39       0.00
     mol_0006_0001.xyz      1   3.50     273.60      27.34       0.00
     mol_0007_0001.xyz      1   3.50     288.65      38.62       0.00
     mol_0008_0001.xyz      1   3.50     221.58      29.16       0.00
     mol_0009_0001.xyz      1   3.50     397.02      32.42       0.00
     mol_0010_0001.xyz      1   3.50     269.73      30.87       0.00
     mol_0011_0001.xyz      1   3.50     297.59      29.10       0.00
     mol_0012_0001.xyz      1   3.50     246.95      37.58       0.00
     mol_0013_0001.xyz      1   3.50     329.88      35.07       0.00
     mol_0014_0001.xyz      1   3.50     298.56      33.50       0.00
     mol_0015_0001.xyz      1   3.50     287.51      37.71       0.00
     mol_0016_0001.xyz      1   3.50     278.95      30.93       0.00
     mol_0017_0001.xyz      1   3.50     344.24      28.62       0.00
     mol_0018_0001.xyz      1   3.50     273.09      26.63       0.00
     mol_0019_0001.xyz      1   3.50     286.93      41.80       0.00
     mol_0020_0001.xyz      1   3.50     301.10      36.12       0.00
     mol_0021_0001.xyz      1   3.50     268.34      41.68       0.00
     mol_0022_0001.xyz      1   3.50     308.87      36.09       0.00
     mol_0023_0001.xyz      1   3.50     325.21      34.31       0.00
     mol_0024_0001.xyz      1   3.50     182.30      32.28       0.00
     mol_0025_0001.xyz      1   3.50     245.69      33.71       0.00
     mol_0026_0001.xyz      1   3.50     260.04      40.33       0.00
     mol_0027_0001.xyz      1   3.50     276.51      41.26       0.00
     mol_0028_0001.xyz      1   3.50     172.18      29.91       0.00
     mol_0029_0001.xyz      1   3.50     282.42      29.97       0.00
     mol_0030_0001.xyz      1   3.50     390.56      28.63       0.00
     mol_0031_0001.xyz      1   3.50     248.94      39.50       0.00
     mol_0032_0001.xyz      1   3.50     274.03      36.91       0.00
     mol_0033_0001.xyz      1   3.50     339.23      28.24       0.00
     mol_0034_0001.xyz      1   3.50     375.69      35.25       0.00
     mol_0035_0001.xyz      1   3.50     279.43      30.25       0.00
     mol_0036_0001.xyz      1   3.50     266.44      39.51       0.00
     mol_0037_0001.xyz      1   3.50     328.03      36.70       0.00
     mol_0038_0001.xyz      1   3.50     286.72      39.13       0.00
     mol_0039_0001.xyz      1   3.50     295.40      43.14       0.00
     mol_0040_0001.xyz      1   3.50     175.34      25.18       0.00
     mol_0041_0001.xyz      1   3.50     235.69      48.35       0.00
     mol_0042_0001.xyz      1   3.50     259.05      41.91       0.00
     mol_0043_0001.xyz      1   3.50     363.27      41.55       0.00
     mol_0044_0001.xyz      1   3.50     301.92      36.64       0.00
     mol_0045_0001.xyz      1   3.50     199.55      36.45       0.00
     mol_0046_0001.xyz      1   3.50     287.78      39.95       0.00
     mol_0047_0001.xyz      1   3.50     304.73      37.75       0.00
     mol_0048_0001.xyz      1   3.50     227.32      38.39       0.00
     mol_0049_0001.xyz      1   3.50     277.19      36.06       0.00
     mol_0050_0001.xyz      1   3.50     304.35      34.92       0.00
     mol_0051_0001.xyz      1   3.50     292.48      40.19       0.00
     mol_0052_0001.xyz      1   3.50     290.84      30.94       0.00
     mol_0054_0001.xyz      1   3.50     283.21      32.53       0.00
     mol_0055_0001.xyz      1   3.50     297.22      32.17       0.00
     mol_0056_0001.xyz      1   3.50     260.30      32.43       0.00
     mol_0057_0001.xyz      1   3.50     195.90      28.98       0.00
     mol_0058_0001.xyz      1   3.50     296.30      47.37       0.00
     mol_0059_0001.xyz      1   3.50     294.04      28.63       0.00
     mol_0060_0001.xyz      1   3.50     227.57      33.46       0.00
     mol_0061_0001.xyz      1   3.50     196.42      40.47       0.00
     mol_0062_0001.xyz      1   3.50     194.24      36.73       0.00
     mol_0063_0001.xyz      1   3.50     280.51      42.12       0.00
     mol_0064_0001.xyz      1   3.50     335.65      26.53       0.00
     mol_0065_0001.xyz      1   3.50     345.81      34.99       0.00
     mol_0066_0001.xyz      1   3.50     293.62      30.16       0.00
     mol_0067_0001.xyz      1   3.50     379.64      30.02       0.00
     mol_0068_0001.xyz      1   3.50     285.04      39.32       0.00
     mol_0069_0001.xyz      1   3.50     309.52      30.82       0.00
     mol_0070_0001.xyz      1   3.50     288.50      36.82       0.00
     mol_0071_0001.xyz      1   3.50     306.31      45.01       0.00
     mol_0072_0001.xyz      1   3.50     333.43      34.13       0.00
     mol_0073_0001.xyz      1   3.50     267.33      42.82       0.00
     mol_0074_0001.xyz      1   3.50     271.11      30.25       0.00
     mol_0075_0001.xyz      1   3.50     277.25      36.66       0.00
     mol_0076_0001.xyz      1   3.50     266.72      37.52       0.00
     mol_0077_0001.xyz      1   3.50     302.66      32.36       0.00
     mol_0078_0001.xyz      1   3.50     260.60      31.60       0.00
     mol_0079_0001.xyz      1   3.50     273.33      34.31       0.00
     mol_0080_0001.xyz      1   3.50     286.31      33.81       0.00
     mol_0081_0001.xyz      1   3.50     335.87      42.09       0.00
     mol_0082_0001.xyz      1   3.50     310.71      39.46       0.00
     mol_0083_0001.xyz      1   3.50     271.37      33.67       0.00
     mol_0084_0001.xyz      1   3.50     317.62      26.55       0.00
     mol_0085_0001.xyz      1   3.50     299.61      34.73       0.00
     mol_0086_0001.xyz      1   3.50     280.55      45.24       0.00
     mol_0088_0001.xyz      1   3.50     218.43      38.94       0.00
     mol_0089_0001.xyz      1   3.50     227.97      39.18       0.00
     mol_0090_0001.xyz      1   3.50     299.33      33.83       0.00
     mol_0091_0001.xyz      1   3.50     289.38      28.64       0.00
     mol_0092_0001.xyz      1   3.50     289.20      34.60       0.00
     mol_0093_0001.xyz      1   3.50     218.10      36.03       0.00
     mol_0094_0001.xyz      1   3.50     299.59      29.46       0.00
     mol_0095_0001.xyz      1   3.50     288.54      31.60       0.00
     mol_0096_0001.xyz      1   3.50     281.39      30.98       0.00
     mol_0097_0001.xyz      1   3.50     295.40      37.07       0.00
     mol_0098_0001.xyz      1   3.50     280.92      27.50       0.00
     mol_0099_0001.xyz      1   3.50     361.75      28.63       0.00
     mol_0100_0001.xyz      1   3.50     293.57      30.94       0.00
     mol_0101_0001.xyz      1   3.50     367.90      29.73       0.00
     mol_0102_0001.xyz      1   3.50     256.44      33.39       0.00
     mol_0105_0001.xyz      1   3.50     281.20      31.00       0.00
     mol_0106_0001.xyz      1   3.50     254.97      31.78       0.00
     mol_0107_0001.xyz      1   3.50     206.13      42.63       0.00
     mol_0108_0001.xyz      1   3.50     370.57      32.38       0.00
     mol_0109_0001.xyz      1   3.50     252.39      40.90       0.00
     mol_0110_0001.xyz      1   3.50     350.63      28.63       0.00
     mol_0111_0001.xyz      1   3.50     300.61      28.89       0.00
     mol_0112_0001.xyz      1   3.50     339.19      42.40       0.00
     mol_0113_0001.xyz      1   3.50     368.82      33.17       0.00
     mol_0114_0001.xyz      1   3.50     397.15      34.17       0.00
     mol_0115_0001.xyz      1   3.50     267.88      34.72       0.00
     mol_0116_0001.xyz      1   3.50     289.56      33.79       0.00
     mol_0117_0001.xyz      1   3.50     300.01      29.15       0.00
     mol_0118_0001.xyz      1   3.50     268.56      32.55       0.00
     mol_0119_0001.xyz      1   3.50     262.50      36.92       0.00
     mol_0120_0001.xyz      1   3.50     292.82      46.19       0.00
     mol_0121_0001.xyz      1   3.50     236.18      31.14       0.00
     mol_0122_0001.xyz      1   3.50     159.29      30.69       0.00
     mol_0123_0001.xyz      1   3.50     297.34      31.45       0.00
     mol_0124_0001.xyz      1   3.50     186.95      30.30       0.00
     mol_0125_0001.xyz      1   3.50     290.22      28.03       0.00
     mol_0126_0001.xyz      1   3.50     311.08      45.06       0.00
     mol_0127_0001.xyz      1   3.50     377.49      28.63       0.00
     mol_0128_0001.xyz      1   3.50     305.33      39.38       0.00
     mol_0129_0001.xyz      1   3.50     283.00      40.71       0.00
     mol_0130_0001.xyz      1   3.50     340.61      50.89       0.00
     mol_0131_0001.xyz      1   3.50     274.91      41.51       0.00
     mol_0132_0001.xyz      1   3.50     355.56      33.45       0.00
     mol_0133_0001.xyz      1   3.50     246.93      38.35       0.00
     mol_0134_0001.xyz      1   3.50     300.80      38.05       0.00
     mol_0135_0001.xyz      1   3.50     269.18      28.48       0.00
     mol_0136_0001.xyz      1   3.50     185.00      31.86       0.00
     mol_0137_0001.xyz      1   3.50     269.89      29.60       0.00
     mol_0138_0001.xyz      1   3.50     184.67      41.65       0.00
     mol_0139_0001.xyz      1   3.50     222.89      33.73       0.00
     mol_0140_0001.xyz      1   3.50     208.39      30.10       0.00
     mol_0141_0001.xyz      1   3.50     277.25      29.08       0.00
     mol_0142_0001.xyz      1   3.50     285.95      35.18       0.00
     mol_0143_0001.xyz      1   3.50     235.76      42.63       0.00
     mol_0144_0001.xyz      1   3.50     276.75      31.49       0.00
     mol_0145_0001.xyz      1   3.50     223.07      28.75       0.00
     mol_0146_0001.xyz      1   3.50     269.88      30.53       0.00
     mol_0147_0001.xyz      1   3.50     271.47      36.36       0.00
     mol_0148_0001.xyz      1   3.50     289.29      38.08       0.00
     mol_0150_0001.xyz      1   3.50     315.32      36.28       0.00
     mol_0151_0001.xyz      1   3.50     231.41      40.53       0.00
     mol_0152_0001.xyz      1   3.50     373.95      42.94       0.00
     mol_0154_0001.xyz      1   3.50     274.34      29.46       0.00
     mol_0155_0001.xyz      1   3.50     280.84      29.85       0.00
     mol_0156_0001.xyz      1   3.50     278.16      31.76       0.00
     mol_0157_0001.xyz      1   3.50     246.81      29.49       0.00
     mol_0158_0001.xyz      1   3.50     279.42      30.97       0.00
     mol_0159_0001.xyz      1   3.50     293.27      38.57       0.00
     mol_0160_0001.xyz      1   3.50     218.51      34.47       0.00
     mol_0161_0001.xyz      1   3.50     325.20      28.64       0.00
     mol_0162_0001.xyz      1   3.50     349.71      37.70       0.00
     mol_0163_0001.xyz      1   3.50     337.26      34.36       0.00
     mol_0164_0001.xyz      1   3.50     312.23      40.67       0.00
     mol_0165_0001.xyz      1   3.50     345.21      42.02       0.00
     mol_0166_0001.xyz      1   3.50     266.78      28.62       0.00
     mol_0167_0001.xyz      1   3.50     237.34      36.50       0.00
     mol_0168_0001.xyz      1   3.50     264.89      41.23       0.00
     mol_0169_0001.xyz      1   3.50     332.77      29.90       0.00
     mol_0170_0001.xyz      1   3.50     280.98      39.05       0.00
     mol_0171_0001.xyz      1   3.50     298.39      26.83       0.00
     mol_0172_0001.xyz      1   3.50     247.63      28.08       0.00
     mol_0173_0001.xyz      1   3.50     224.51      36.84       0.00
     mol_0175_0001.xyz      1   3.50     283.11      35.06       0.00
     mol_0176_0001.xyz      1   3.50     317.86      29.54       0.00
     mol_0177_0001.xyz      1   3.50     254.37      34.36       0.00
     mol_0178_0001.xyz      1   3.50     231.85      47.27       0.00
     mol_0179_0001.xyz      1   3.50     211.78      39.35       0.00
     mol_0180_0001.xyz      1   3.50     342.09      28.61       0.00
     mol_0181_0001.xyz      1   3.50     301.20      28.08       0.00
     mol_0182_0001.xyz      1   3.50     235.79      30.77       0.00
     mol_0183_0001.xyz      1   3.50     218.74      35.77       0.00
     mol_0184_0001.xyz      1   3.50     286.25      43.44       0.00
     mol_0185_0001.xyz      1   3.50     232.80      29.12       0.00
     mol_0186_0001.xyz      1   3.50     353.19      31.04       0.00
     mol_0187_0001.xyz      1   3.50     356.44      28.61       0.00
     mol_0188_0001.xyz      1   3.50     263.53      29.57       0.00
     mol_0189_0001.xyz      1   3.50     300.94      24.80       0.00
     mol_0190_0001.xyz      1   3.50     284.98      26.53       0.00
     mol_0191_0001.xyz      1   3.50     329.92      35.15       0.00
     mol_0192_0001.xyz      1   3.50     230.80      34.65       0.00
     mol_0193_0001.xyz      1   3.50     309.78      32.61       0.00
     mol_0195_0001.xyz      1   3.50     342.28      40.02       0.00
     mol_0196_0001.xyz      1   3.50     263.08      36.14       0.00
     mol_0197_0001.xyz      1   3.50     300.03      32.97       0.00
     mol_0198_0001.xyz      1   3.50     207.72      37.88       0.00
     mol_0199_0001.xyz      1   3.50     295.76      29.44       0.00
     mol_0200_0001.xyz      1   3.50     238.75      25.01       0.00
     mol_0201_0001.xyz      1   3.50     250.09      39.70       0.00
     mol_0202_0001.xyz      1   3.50     287.98      43.14       0.00
     mol_0203_0001.xyz      1   3.50     308.98      43.08       0.00
     mol_0204_0001.xyz      1   3.50     296.33      38.22       0.00
     mol_0205_0001.xyz      1   3.50     335.27      32.17       0.00
     mol_0206_0001.xyz      1   3.50     360.03      46.64       0.00
     mol_0207_0001.xyz      1   3.50     219.50      27.76       0.00
     mol_0208_0001.xyz      1   3.50     253.29      31.45       0.00
     mol_0209_0001.xyz      1   3.50     307.69      39.91       0.00
     mol_0210_0001.xyz      1   3.50     298.09      28.33       0.00
     mol_0211_0001.xyz      1   3.50     251.83      37.52       0.00
     mol_0212_0001.xyz      1   3.50     262.82      30.58       0.00
     mol_0213_0001.xyz      1   3.50     309.13      39.87       0.00
     mol_0214_0001.xyz      1   3.50     299.24      29.40       0.00
     mol_0215_0001.xyz      1   3.50     209.93      28.98       0.00
     mol_0216_0001.xyz      1   3.50     306.62      36.66       0.00
     mol_0217_0001.xyz      1   3.50     208.84      34.00       0.00
