mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,297.542,51.406
mol_0004_0001.xyz,3,C,336.775,43.222
mol_0005_0001.xyz,7,C,320.46,53.873
mol_0006_0001.xyz,24,C,352.451,52.16
mol_0007_0001.xyz,4,C,370.109,47.197
mol_0008_0001.xyz,8,C,285.696,45.65
mol_0009_0001.xyz,31,C,504.036,54.838
mol_0011_0001.xyz,11,C,380.08,54.933
mol_0013_0001.xyz,7,C,422.598,48.884
mol_0014_0001.xyz,23,C,383.164,50.696
mol_0016_0001.xyz,4,C,360.077,42.948
mol_0021_0001.xyz,11,C,345.22,57.077
mol_0022_0001.xyz,16,C,390.647,41.089
mol_0025_0001.xyz,14,C,313.888,46.442
mol_0027_0001.xyz,18,C,354.239,60.994
mol_0028_0001.xyz,12,C,218.381,38.226
mol_0029_0001.xyz,8,C,360.217,42.303
mol_0030_0001.xyz,25,C,495.442,58.237
mol_0032_0001.xyz,3,C,348.3,60.577
mol_0033_0001.xyz,27,C,434.114,59.595
mol_0037_0001.xyz,23,C,421.46,40.804
mol_0038_0001.xyz,19,C,365.768,44.511
mol_0043_0001.xyz,24,C,456.212,58.287
mol_0047_0001.xyz,15,C,387.902,34.297
mol_0048_0001.xyz,9,C,284.26,69.571
mol_0049_0001.xyz,4,C,353.26,46.213
mol_0050_0001.xyz,14,C,388.8,53.665
mol_0051_0001.xyz,23,C,374.04,39.111
mol_0052_0001.xyz,22,C,372.975,48.937
mol_0054_0001.xyz,12,C,359.281,51.338
mol_0057_0001.xyz,9,C,254.365,50.309
mol_0058_0001.xyz,5,C,376.234,48.225
mol_0060_0001.xyz,18,C,287.43,69.698
mol_0062_0001.xyz,1,C,245.995,38.343
mol_0064_0001.xyz,16,C,430.42,51.746
mol_0068_0001.xyz,17,C,363.17,54.225
mol_0070_0001.xyz,5,C,364.486,57.425
mol_0075_0001.xyz,4,C,355.056,54.336
mol_0077_0001.xyz,12,C,385.227,50.455
mol_0078_0001.xyz,5,C,329.548,44.76
mol_0079_0001.xyz,13,C,348.797,45.704
mol_0080_0001.xyz,6,C,362.473,47.489
mol_0082_0001.xyz,2,C,392.519,61.17
mol_0085_0001.xyz,8,C,383.844,58.948
mol_0086_0001.xyz,2,C,357.25,52.228
mol_0088_0001.xyz,5,C,284.677,50.662
mol_0090_0001.xyz,14,C,380.238,60.617
mol_0091_0001.xyz,18,C,370.075,45.392
mol_0094_0001.xyz,22,C,383.083,49.532
mol_0095_0001.xyz,19,C,370.858,39.934
mol_0098_0001.xyz,15,C,362.032,46.415
mol_0100_0001.xyz,11,C,376.44,52.076
mol_0102_0001.xyz,11,C,324.14,51.745
mol_0105_0001.xyz,19,C,361.543,33.34
mol_0106_0001.xyz,5,C,328.051,58.594
mol_0110_0001.xyz,30,C,446.634,42.534
mol_0111_0001.xyz,22,C,381.699,51.696
mol_0112_0001.xyz,27,C,429.06,46.473
mol_0113_0001.xyz,20,C,468.014,59.657
mol_0114_0001.xyz,18,C,501.384,68.035
mol_0116_0001.xyz,3,C,368.218,57.167
mol_0117_0001.xyz,15,C,385.075,45.344
mol_0118_0001.xyz,5,C,343.241,64.566
mol_0119_0001.xyz,7,C,338.951,50.926
mol_0121_0001.xyz,6,C,300.561,39.486
mol_0122_0001.xyz,10,C,207.512,39.394
mol_0123_0001.xyz,13,C,378.297,47.774
mol_0124_0001.xyz,9,C,246.114,46.635
mol_0125_0001.xyz,19,C,370.672,56.78
mol_0130_0001.xyz,11,C,435.903,42.666
mol_0131_0001.xyz,5,C,353.418,55.968
mol_0132_0001.xyz,23,C,452.222,41.987
mol_0134_0001.xyz,22,C,378.669,54.177
mol_0136_0001.xyz,11,C,239.065,48.297
mol_0137_0001.xyz,1,C,343.619,31.603
mol_0138_0001.xyz,6,C,236.543,58.415
mol_0141_0001.xyz,17,C,356.611,30.993
mol_0143_0001.xyz,11,C,296.345,62.74
mol_0144_0001.xyz,6,C,351.226,60.345
mol_0147_0001.xyz,18,C,345.379,40.191
mol_0150_0001.xyz,9,C,403.483,53.372
mol_0151_0001.xyz,19,C,296.641,52.706
mol_0152_0001.xyz,13,C,473.199,55.086
mol_0155_0001.xyz,20,C,358.898,39.317
mol_0160_0001.xyz,18,C,282.671,50.997
mol_0163_0001.xyz,4,C,426.83,60.269
mol_0165_0001.xyz,25,C,439.853,53.723
mol_0167_0001.xyz,18,C,306.206,52.115
mol_0170_0001.xyz,22,C,357.346,41.638
mol_0173_0001.xyz,3,C,289.235,39.719
mol_0175_0001.xyz,18,C,361.167,48.74
mol_0177_0001.xyz,13,C,328.666,42.387
mol_0180_0001.xyz,20,C,433.465,61.836
mol_0181_0001.xyz,19,C,386.365,36.654
mol_0183_0001.xyz,1,C,280.784,35.599
mol_0184_0001.xyz,12,C,364.029,59.632
mol_0187_0001.xyz,20,C,457.133,52.06
mol_0190_0001.xyz,26,C,365.13,54.062
mol_0202_0001.xyz,14,C,370.605,47.31
mol_0203_0001.xyz,19,C,393.353,45.899
mol_0204_0001.xyz,14,C,377.28,41.881
mol_0205_0001.xyz,21,C,430.392,39.847
mol_0210_0001.xyz,12,C,380.845,36.834
mol_0211_0001.xyz,5,C,328.385,44.068
mol_0212_0001.xyz,18,C,339.719,36.616
mol_0215_0001.xyz,5,C,269.892,39.145
mol_0216_0001.xyz,22,C,386.309,53.328
mol_0218_0001.xyz,27,C,381.952,45.906
mol_0219_0001.xyz,22,C,393.946,42.173
mol_0220_0001.xyz,8,C,336.265,51.921
mol_0221_0001.xyz,5,C,295.862,71.148
mol_0222_0001.xyz,26,C,435.608,44.166
mol_0225_0001.xyz,6,C,470.916,65.798
mol_0226_0001.xyz,21,C,404.64,39.76
mol_0231_0001.xyz,7,C,426.825,61.185
mol_0236_0001.xyz,3,C,376.72,42.716
mol_0239_0001.xyz,16,C,424.891,54.01
mol_0242_0001.xyz,20,C,366.318,42.737
mol_0243_0001.xyz,10,C,290.394,41.364
mol_0245_0001.xyz,2,C,425.874,44.512
mol_0246_0001.xyz,16,C,350.785,51.542
mol_0248_0001.xyz,12,C,244.388,36.992
mol_0251_0001.xyz,6,C,417.283,42.279
mol_0253_0001.xyz,12,C,291.61,43.291
mol_0254_0001.xyz,1,C,497.665,28.658
mol_0256_0001.xyz,9,C,340.822,54.829
mol_0257_0001.xyz,2,C,333.391,35.659
mol_0258_0001.xyz,3,C,397.892,63.339
mol_0259_0001.xyz,26,C,387.647,39.238
mol_0260_0001.xyz,7,C,291.918,46.033
mol_0263_0001.xyz,16,C,284.159,33.671
mol_0266_0001.xyz,17,C,323.0,55.407
mol_0267_0001.xyz,18,C,406.014,55.747
mol_0268_0001.xyz,8,C,273.265,40.577
mol_0275_0001.xyz,5,C,260.916,51.618
mol_0277_0001.xyz,12,C,457.745,55.084
mol_0279_0001.xyz,13,C,369.491,42.916
mol_0282_0001.xyz,7,C,385.019,41.566
mol_0284_0001.xyz,12,C,294.94,36.8
mol_0285_0001.xyz,11,C,314.322,46.411
mol_0288_0001.xyz,10,C,471.233,41.501
mol_0289_0001.xyz,11,C,286.863,47.065
mol_0292_0001.xyz,20,C,417.597,56.661
mol_0293_0001.xyz,4,C,274.366,45.741
mol_0294_0001.xyz,9,C,216.937,47.017
mol_0298_0001.xyz,11,C,259.747,47.527
mol_0300_0001.xyz,6,C,358.595,52.028
mol_0301_0001.xyz,14,C,407.288,70.061
mol_0307_0001.xyz,4,C,335.451,41.409
mol_0308_0001.xyz,16,C,348.184,33.45
mol_0311_0001.xyz,3,C,368.217,35.675
mol_0312_0001.xyz,25,C,413.097,39.437
mol_0313_0001.xyz,7,C,326.347,46.453
mol_0314_0001.xyz,18,C,315.212,35.95
mol_0315_0001.xyz,14,C,326.725,39.44
mol_0316_0001.xyz,6,C,377.144,49.685
mol_0318_0001.xyz,10,C,414.432,55.282
mol_0319_0001.xyz,4,C,300.653,52.272
mol_0322_0001.xyz,20,C,372.246,45.091
mol_0324_0001.xyz,4,C,377.163,44.695
mol_0325_0001.xyz,12,C,292.346,47.647
mol_0327_0001.xyz,29,C,447.26,65.822
mol_0328_0001.xyz,17,C,286.709,41.071
mol_0329_0001.xyz,3,C,352.42,48.179
mol_0332_0001.xyz,15,C,242.443,37.78
mol_0334_0001.xyz,11,C,260.365,35.107
mol_0336_0001.xyz,3,C,473.696,48.555
mol_0340_0001.xyz,14,C,292.913,36.258
mol_0342_0001.xyz,7,C,378.571,35.594
mol_0344_0001.xyz,15,C,343.943,42.438
mol_0345_0001.xyz,21,C,317.291,41.194
mol_0346_0001.xyz,10,C,433.35,56.288
mol_0349_0001.xyz,10,C,406.675,44.891
mol_0351_0001.xyz,6,C,203.486,59.087
mol_0356_0001.xyz,9,C,359.718,43.535
mol_0357_0001.xyz,4,C,361.157,56.613
mol_0358_0001.xyz,10,C,370.423,53.26
mol_0360_0001.xyz,11,C,418.883,63.618
mol_0361_0001.xyz,3,C,248.493,42.204
mol_0363_0001.xyz,10,C,394.771,33.275
mol_0364_0001.xyz,6,C,409.461,57.198
mol_0365_0001.xyz,23,C,401.852,48.416
mol_0367_0001.xyz,5,C,396.239,51.426
mol_0369_0001.xyz,1,C,269.945,26.273
mol_0371_0001.xyz,2,C,356.503,45.714
mol_0373_0001.xyz,8,C,368.329,44.603
mol_0374_0001.xyz,22,C,356.624,50.534
mol_0375_0001.xyz,20,C,403.176,40.325
mol_0383_0001.xyz,17,C,270.457,40.407
mol_0384_0001.xyz,23,C,360.189,50.232
mol_0385_0001.xyz,19,C,343.688,46.217
mol_0386_0001.xyz,2,C,208.0,33.33
mol_0387_0001.xyz,20,C,381.86,37.686
mol_0390_0001.xyz,14,C,377.424,34.008
mol_0391_0001.xyz,18,C,322.543,46.4
mol_0392_0001.xyz,8,C,412.894,59.07
mol_0393_0001.xyz,18,C,337.225,48.511
mol_0394_0001.xyz,23,C,416.939,48.608
mol_0396_0001.xyz,10,C,365.371,48.187
mol_0397_0001.xyz,15,C,392.219,60.758
mol_0398_0001.xyz,2,C,327.395,59.46
mol_0399_0001.xyz,15,C,365.626,33.931
mol_0403_0001.xyz,5,C,388.138,55.552
mol_0405_0001.xyz,6,C,309.057,50.913
mol_0409_0001.xyz,1,C,313.91,30.894
mol_0412_0001.xyz,10,C,391.697,47.717
mol_0414_0001.xyz,17,C,330.236,37.352
mol_0417_0001.xyz,12,C,323.126,51.849
mol_0418_0001.xyz,1,C,274.315,27.657
mol_0420_0001.xyz,25,C,428.794,63.86
mol_0421_0001.xyz,5,C,210.921,46.082
mol_0425_0001.xyz,21,C,372.456,49.681
mol_0430_0001.xyz,16,C,363.668,32.192
mol_0431_0001.xyz,3,C,391.822,54.373
mol_0432_0001.xyz,3,C,263.542,39.135
mol_0433_0001.xyz,10,C,411.906,34.37
mol_0434_0001.xyz,19,C,396.756,45.421
mol_0435_0001.xyz,15,C,334.45,37.464
mol_0436_0001.xyz,2,C,223.768,31.324
mol_0437_0001.xyz,7,C,311.277,35.846
mol_0438_0001.xyz,9,C,240.381,53.511
mol_0440_0001.xyz,17,C,365.814,50.959
mol_0445_0001.xyz,16,C,327.467,61.26
mol_0448_0001.xyz,8,C,313.662,44.751
mol_0450_0001.xyz,23,C,391.213,55.442
mol_0453_0001.xyz,10,C,324.125,70.052
mol_0454_0001.xyz,18,C,407.079,49.679
mol_0455_0001.xyz,12,C,280.629,41.439
mol_0456_0001.xyz,7,C,308.702,59.0
mol_0457_0001.xyz,5,C,340.026,42.371
mol_0458_0001.xyz,3,C,414.595,56.108
mol_0461_0001.xyz,11,C,288.887,48.508
mol_0464_0001.xyz,23,C,455.859,41.223
mol_0465_0001.xyz,11,C,255.759,52.927
mol_0466_0001.xyz,25,C,396.68,48.212
mol_0467_0001.xyz,2,C,320.636,52.898
mol_0469_0001.xyz,13,C,307.037,37.193
mol_0470_0001.xyz,2,C,325.105,42.753
mol_0474_0001.xyz,18,C,367.333,52.889
mol_0475_0001.xyz,4,C,307.186,43.726
mol_0476_0001.xyz,24,C,360.168,54.058
mol_0478_0001.xyz,11,C,371.726,43.687
mol_0480_0001.xyz,23,C,417.952,51.603
mol_0484_0001.xyz,11,C,342.255,35.495
mol_0485_0001.xyz,24,C,399.062,40.023
mol_0488_0001.xyz,2,C,383.465,60.213
mol_0489_0001.xyz,21,C,361.185,41.293
mol_0493_0001.xyz,18,C,293.892,36.177
mol_0495_0001.xyz,13,C,230.589,45.378
mol_0499_0001.xyz,17,C,321.534,53.955
mol_0016_0001.xyz,20,Cl,360.24,29.742
mol_0023_0001.xyz,28,Cl,415.448,33.879
mol_0026_0001.xyz,7,Cl,334.014,38.492
mol_0033_0001.xyz,25,Cl,434.117,31.099
mol_0044_0001.xyz,22,Cl,386.234,29.666
mol_0065_0001.xyz,28,Cl,444.024,45.144
mol_0067_0001.xyz,23,Cl,487.901,29.72
mol_0097_0001.xyz,11,Cl,380.712,34.88
mol_0101_0001.xyz,27,Cl,475.254,33.65
mol_0107_0001.xyz,14,Cl,264.713,30.216
mol_0122_0001.xyz,6,Cl,207.56,29.108
mol_0124_0001.xyz,10,Cl,246.181,29.863
mol_0130_0001.xyz,8,Cl,435.885,35.113
mol_0139_0001.xyz,11,Cl,284.292,29.657
mol_0148_0001.xyz,11,Cl,367.038,31.981
mol_0160_0001.xyz,19,Cl,282.676,33.928
mol_0179_0001.xyz,9,Cl,272.484,29.57
mol_0196_0001.xyz,20,Cl,339.59,29.699
mol_0200_0001.xyz,12,Cl,310.255,29.737
mol_0223_0001.xyz,15,Cl,407.875,29.693
mol_0227_0001.xyz,19,Cl,371.4,35.994
mol_0228_0001.xyz,12,Cl,384.437,44.722
mol_0232_0001.xyz,23,Cl,453.533,44.036
mol_0255_0001.xyz,21,Cl,418.831,36.76
mol_0265_0001.xyz,13,Cl,300.432,29.774
mol_0276_0001.xyz,23,Cl,386.822,29.732
mol_0280_0001.xyz,14,Cl,269.648,29.715
mol_0296_0001.xyz,14,Cl,285.838,29.611
mol_0298_0001.xyz,13,Cl,259.719,29.783
mol_0301_0001.xyz,24,Cl,407.364,33.324
mol_0303_0001.xyz,23,Cl,432.327,38.653
mol_0330_0001.xyz,21,Cl,437.514,37.886
mol_0344_0001.xyz,20,Cl,343.908,29.721
mol_0356_0001.xyz,20,Cl,359.788,32.432
mol_0362_0001.xyz,14,Cl,438.92,29.718
mol_0371_0001.xyz,24,Cl,356.665,38.125
mol_0372_0001.xyz,16,Cl,378.487,30.289
mol_0379_0001.xyz,19,Cl,286.937,42.461
mol_0396_0001.xyz,24,Cl,365.483,40.579
mol_0399_0001.xyz,23,Cl,365.63,33.823
mol_0401_0001.xyz,16,Cl,333.777,28.64
mol_0421_0001.xyz,10,Cl,211.052,27.073
mol_0423_0001.xyz,21,Cl,362.504,31.529
mol_0435_0001.xyz,18,Cl,334.439,29.753
mol_0448_0001.xyz,20,Cl,313.598,35.821
mol_0450_0001.xyz,18,Cl,391.306,29.733
mol_0455_0001.xyz,14,Cl,280.687,29.588
mol_0470_0001.xyz,15,Cl,325.142,29.73
mol_0486_0001.xyz,16,Cl,288.627,34.65
mol_0499_0001.xyz,16,Cl,321.671,31.45
mol_0010_0001.xyz,21,F,346.518,28.345
mol_0020_0001.xyz,24,F,383.491,40.235
mol_0027_0001.xyz,7,F,354.183,29.53
mol_0029_0001.xyz,23,F,360.28,33.639
mol_0031_0001.xyz,11,F,315.299,28.252
mol_0032_0001.xyz,22,F,348.219,32.826
mol_0037_0001.xyz,27,F,421.371,33.212
mol_0042_0001.xyz,8,F,331.558,28.192
mol_0057_0001.xyz,13,F,254.277,27.983
mol_0058_0001.xyz,23,F,376.269,40.879
mol_0067_0001.xyz,9,F,487.7,27.923
mol_0072_0001.xyz,27,F,422.705,37.48
mol_0086_0001.xyz,18,F,357.219,28.534
mol_0091_0001.xyz,21,F,369.938,34.312
mol_0094_0001.xyz,18,F,383.053,27.93
mol_0098_0001.xyz,1,F,361.951,27.948
mol_0119_0001.xyz,19,F,338.725,33.026
mol_0128_0001.xyz,19,F,389.772,43.325
mol_0129_0001.xyz,21,F,362.167,28.062
mol_0130_0001.xyz,28,F,435.845,43.742
mol_0142_0001.xyz,23,F,366.864,28.012
mol_0150_0001.xyz,24,F,403.582,27.984
mol_0151_0001.xyz,18,F,296.556,25.98
mol_0156_0001.xyz,3,F,356.315,31.377
mol_0157_0001.xyz,19,F,317.664,33.981
mol_0159_0001.xyz,23,F,373.67,27.995
mol_0165_0001.xyz,12,F,439.783,28.095
mol_0167_0001.xyz,10,F,306.144,28.125
mol_0177_0001.xyz,19,F,328.67,33.111
mol_0179_0001.xyz,12,F,272.334,32.059
mol_0183_0001.xyz,18,F,280.691,36.376
mol_0184_0001.xyz,21,F,364.006,32.81
mol_0189_0001.xyz,24,F,383.991,45.52
mol_0192_0001.xyz,17,F,295.485,39.712
mol_0195_0001.xyz,16,F,436.456,28.042
mol_0215_0001.xyz,16,F,269.791,39.357
mol_0218_0001.xyz,23,F,381.843,38.124
mol_0221_0001.xyz,17,F,295.852,45.332
mol_0226_0001.xyz,23,F,404.601,27.955
mol_0227_0001.xyz,16,F,371.204,27.957
mol_0229_0001.xyz,12,F,319.683,41.207
mol_0246_0001.xyz,23,F,350.72,33.983
mol_0259_0001.xyz,25,F,387.604,27.997
mol_0260_0001.xyz,17,F,291.957,33.322
mol_0265_0001.xyz,10,F,300.281,31.017
mol_0269_0001.xyz,14,F,333.578,30.204
mol_0279_0001.xyz,12,F,369.489,27.98
mol_0282_0001.xyz,22,F,384.982,27.93
mol_0283_0001.xyz,25,F,371.843,43.161
mol_0286_0001.xyz,11,F,338.33,28.027
mol_0293_0001.xyz,15,F,274.254,32.62
mol_0294_0001.xyz,12,F,216.954,27.93
mol_0300_0001.xyz,15,F,358.524,28.041
mol_0305_0001.xyz,17,F,485.608,28.036
mol_0306_0001.xyz,23,F,371.728,33.568
mol_0314_0001.xyz,21,F,315.196,42.575
mol_0315_0001.xyz,16,F,326.757,27.937
mol_0321_0001.xyz,23,F,420.665,27.933
mol_0322_0001.xyz,17,F,372.376,30.675
mol_0324_0001.xyz,22,F,377.069,33.486
mol_0327_0001.xyz,20,F,447.209,30.754
mol_0335_0001.xyz,22,F,352.603,37.197
mol_0337_0001.xyz,15,F,335.637,31.299
mol_0338_0001.xyz,17,F,370.69,42.609
mol_0339_0001.xyz,19,F,437.294,27.848
mol_0353_0001.xyz,22,F,391.226,32.245
mol_0357_0001.xyz,22,F,361.097,28.106
mol_0375_0001.xyz,22,F,403.307,32.518
mol_0377_0001.xyz,28,F,393.663,43.502
mol_0381_0001.xyz,19,F,370.661,27.919
mol_0382_0001.xyz,24,F,371.349,27.996
mol_0383_0001.xyz,3,F,270.277,30.262
mol_0387_0001.xyz,6,F,381.796,37.583
mol_0391_0001.xyz,19,F,322.572,33.578
mol_0392_0001.xyz,24,F,412.868,39.562
mol_0396_0001.xyz,21,F,365.335,27.978
mol_0402_0001.xyz,21,F,487.285,43.452
mol_0404_0001.xyz,19,F,320.133,47.926
