mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,294.248,58.869
mol_0004_0001.xyz,3,C,339.337,53.765
mol_0005_0001.xyz,7,C,316.459,61.597
mol_0006_0001.xyz,24,C,350.442,59.771
mol_0007_0001.xyz,4,C,371.634,56.386
mol_0008_0001.xyz,8,C,284.28,55.187
mol_0009_0001.xyz,31,C,504.036,62.896
mol_0011_0001.xyz,11,C,377.675,63.291
mol_0013_0001.xyz,7,C,420.006,58.014
mol_0014_0001.xyz,23,C,381.123,58.876
mol_0016_0001.xyz,4,C,361.25,51.894
mol_0021_0001.xyz,11,C,343.022,66.161
mol_0022_0001.xyz,16,C,385.438,48.425
mol_0025_0001.xyz,14,C,310.409,55.197
mol_0027_0001.xyz,18,C,355.778,71.794
mol_0028_0001.xyz,12,C,214.907,47.877
mol_0029_0001.xyz,8,C,357.562,52.081
mol_0030_0001.xyz,25,C,494.925,69.612
mol_0032_0001.xyz,3,C,347.709,70.39
mol_0033_0001.xyz,27,C,432.376,65.349
mol_0037_0001.xyz,23,C,423.691,47.777
mol_0038_0001.xyz,19,C,364.791,53.846
mol_0043_0001.xyz,24,C,460.649,74.517
mol_0047_0001.xyz,15,C,388.899,45.127
mol_0048_0001.xyz,9,C,282.522,82.639
mol_0049_0001.xyz,4,C,349.887,52.155
mol_0050_0001.xyz,14,C,390.478,63.759
mol_0051_0001.xyz,23,C,370.86,47.745
mol_0052_0001.xyz,22,C,373.194,56.691
mol_0054_0001.xyz,12,C,355.621,60.108
mol_0057_0001.xyz,9,C,255.888,62.854
mol_0058_0001.xyz,5,C,371.242,57.19
mol_0060_0001.xyz,18,C,285.791,79.342
mol_0062_0001.xyz,1,C,244.722,45.24
mol_0064_0001.xyz,16,C,424.606,61.577
mol_0068_0001.xyz,17,C,359.492,61.37
mol_0070_0001.xyz,5,C,364.843,67.374
mol_0075_0001.xyz,4,C,357.073,66.32
mol_0077_0001.xyz,12,C,387.315,62.549
mol_0078_0001.xyz,5,C,325.974,53.683
mol_0079_0001.xyz,13,C,343.883,55.246
mol_0080_0001.xyz,6,C,358.298,57.569
mol_0082_0001.xyz,2,C,390.631,69.812
mol_0085_0001.xyz,8,C,379.822,70.01
mol_0086_0001.xyz,2,C,354.995,61.084
mol_0088_0001.xyz,5,C,286.021,61.202
mol_0090_0001.xyz,14,C,378.009,68.263
mol_0091_0001.xyz,18,C,370.882,54.553
mol_0094_0001.xyz,22,C,382.844,58.503
mol_0095_0001.xyz,19,C,367.864,47.612
mol_0098_0001.xyz,15,C,361.947,56.206
mol_0100_0001.xyz,11,C,376.877,60.024
mol_0102_0001.xyz,11,C,322.307,60.465
mol_0105_0001.xyz,19,C,358.644,43.365
mol_0106_0001.xyz,5,C,326.102,68.017
mol_0110_0001.xyz,30,C,443.907,50.787
mol_0111_0001.xyz,22,C,381.661,60.739
mol_0112_0001.xyz,27,C,425.167,55.797
mol_0113_0001.xyz,20,C,468.014,64.499
mol_0114_0001.xyz,18,C,499.259,77.545
mol_0116_0001.xyz,3,C,368.487,69.608
mol_0117_0001.xyz,15,C,380.975,54.721
mol_0118_0001.xyz,5,C,343.241,74.243
mol_0119_0001.xyz,7,C,338.943,59.572
