
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Bondi atomic radii will be scaled by 1.07
   Hydrogen atoms are included

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
   ------------------------------------------------------------------
     mol_0002_0001.xyz      1   3.50     267.80      42.45       0.00
     mol_0003_0001.xyz      1   3.50     261.88      31.35       0.00
     mol_0004_0001.xyz      1   3.50     298.02      32.29       0.00
     mol_0005_0001.xyz      1   3.50     284.29      42.21       0.00
     mol_0006_0001.xyz      1   3.50     309.52      31.00       0.00
     mol_0007_0001.xyz      1   3.50     325.73      42.73       0.00
     mol_0008_0001.xyz      1   3.50     250.70      32.74       0.00
     mol_0009_0001.xyz      1   3.50     445.95      36.25       0.00
     mol_0010_0001.xyz      1   3.50     304.89      34.53       0.00
     mol_0011_0001.xyz      1   3.50     335.22      32.71       0.00
     mol_0012_0001.xyz      1   3.50     278.24      41.89       0.00
     mol_0013_0001.xyz      1   3.50     372.23      38.84       0.00
     mol_0014_0001.xyz      1   3.50     337.14      37.59       0.00
     mol_0015_0001.xyz      1   3.50     321.63      41.62       0.00
     mol_0016_0001.xyz      1   3.50     315.84      34.58       0.00
     mol_0017_0001.xyz      1   3.50     388.35      32.21       0.00
     mol_0018_0001.xyz      1   3.50     307.76      30.23       0.00
     mol_0019_0001.xyz      1   3.50     322.73      45.63       0.00
     mol_0020_0001.xyz      1   3.50     339.43      40.00       0.00
     mol_0021_0001.xyz      1   3.50     303.45      45.97       0.00
     mol_0022_0001.xyz      1   3.50     346.43      40.39       0.00
     mol_0023_0001.xyz      1   3.50     366.48      38.22       0.00
     mol_0024_0001.xyz      1   3.50     206.32      35.98       0.00
     mol_0025_0001.xyz      1   3.50     276.84      37.70       0.00
     mol_0026_0001.xyz      1   3.50     294.03      45.07       0.00
     mol_0027_0001.xyz      1   3.50     312.05      45.40       0.00
     mol_0028_0001.xyz      1   3.50     193.32      33.42       0.00
     mol_0029_0001.xyz      1   3.50     318.04      33.82       0.00
     mol_0030_0001.xyz      1   3.50     438.81      32.23       0.00
     mol_0031_0001.xyz      1   3.50     279.61      43.39       0.00
     mol_0032_0001.xyz      1   3.50     308.30      41.55       0.00
     mol_0033_0001.xyz      1   3.50     383.17      32.00       0.00
     mol_0034_0001.xyz      1   3.50     421.57      39.26       0.00
     mol_0035_0001.xyz      1   3.50     314.02      34.01       0.00
     mol_0036_0001.xyz      1   3.50     300.61      43.77       0.00
     mol_0037_0001.xyz      1   3.50     370.71      40.50       0.00
     mol_0038_0001.xyz      1   3.50     322.75      43.01       0.00
     mol_0039_0001.xyz      1   3.50     332.92      47.49       0.00
     mol_0040_0001.xyz      1   3.50     198.05      28.50       0.00
     mol_0041_0001.xyz      1   3.50     265.11      52.92       0.00
     mol_0042_0001.xyz      1   3.50     292.10      46.06       0.00
     mol_0043_0001.xyz      1   3.50     406.49      45.47       0.00
     mol_0044_0001.xyz      1   3.50     340.34      40.38       0.00
     mol_0045_0001.xyz      1   3.50     225.58      40.72       0.00
     mol_0046_0001.xyz      1   3.50     324.18      45.05       0.00
     mol_0047_0001.xyz      1   3.50     342.74      41.85       0.00
     mol_0048_0001.xyz      1   3.50     253.67      42.12       0.00
     mol_0049_0001.xyz      1   3.50     312.29      40.70       0.00
     mol_0050_0001.xyz      1   3.50     342.94      39.50       0.00
     mol_0051_0001.xyz      1   3.50     329.87      44.28       0.00
     mol_0052_0001.xyz      1   3.50     328.41      34.59       0.00
     mol_0054_0001.xyz      1   3.50     318.14      36.31       0.00
     mol_0055_0001.xyz      1   3.50     334.49      36.18       0.00
     mol_0056_0001.xyz      1   3.50     293.78      36.26       0.00
     mol_0057_0001.xyz      1   3.50     222.37      32.55       0.00
     mol_0058_0001.xyz      1   3.50     333.41      51.96       0.00
     mol_0059_0001.xyz      1   3.50     332.54      32.23       0.00
     mol_0060_0001.xyz      1   3.50     255.08      36.99       0.00
     mol_0061_0001.xyz      1   3.50     222.58      44.59       0.00
     mol_0062_0001.xyz      1   3.50     217.90      40.71       0.00
     mol_0063_0001.xyz      1   3.50     315.87      47.13       0.00
     mol_0064_0001.xyz      1   3.50     379.00      30.14       0.00
     mol_0065_0001.xyz      1   3.50     390.86      39.62       0.00
     mol_0066_0001.xyz      1   3.50     331.35      33.82       0.00
     mol_0067_0001.xyz      1   3.50     429.01      33.69       0.00
     mol_0068_0001.xyz      1   3.50     321.19      44.22       0.00
     mol_0069_0001.xyz      1   3.50     348.80      34.63       0.00
     mol_0070_0001.xyz      1   3.50     323.47      40.66       0.00
     mol_0071_0001.xyz      1   3.50     344.58      49.54       0.00
     mol_0072_0001.xyz      1   3.50     374.51      38.00       0.00
     mol_0073_0001.xyz      1   3.50     302.06      48.40       0.00
     mol_0074_0001.xyz      1   3.50     305.84      34.48       0.00
     mol_0075_0001.xyz      1   3.50     312.92      40.65       0.00
     mol_0076_0001.xyz      1   3.50     301.23      42.21       0.00
     mol_0077_0001.xyz      1   3.50     340.33      36.00       0.00
     mol_0078_0001.xyz      1   3.50     292.33      35.58       0.00
     mol_0079_0001.xyz      1   3.50     307.86      37.95       0.00
     mol_0080_0001.xyz      1   3.50     321.29      37.40       0.00
     mol_0081_0001.xyz      1   3.50     377.19      46.88       0.00
     mol_0082_0001.xyz      1   3.50     348.62      43.35       0.00
     mol_0083_0001.xyz      1   3.50     305.00      37.40       0.00
     mol_0084_0001.xyz      1   3.50     358.13      30.19       0.00
     mol_0085_0001.xyz      1   3.50     338.13      39.15       0.00
     mol_0086_0001.xyz      1   3.50     315.70      49.62       0.00
     mol_0088_0001.xyz      1   3.50     248.46      42.89       0.00
     mol_0089_0001.xyz      1   3.50     255.25      43.49       0.00
     mol_0090_0001.xyz      1   3.50     336.45      37.64       0.00
     mol_0091_0001.xyz      1   3.50     326.39      32.24       0.00
     mol_0092_0001.xyz      1   3.50     326.02      38.43       0.00
     mol_0093_0001.xyz      1   3.50     245.32      39.88       0.00
     mol_0094_0001.xyz      1   3.50     337.69      33.15       0.00
     mol_0095_0001.xyz      1   3.50     326.20      35.50       0.00
     mol_0096_0001.xyz      1   3.50     318.06      34.63       0.00
     mol_0097_0001.xyz      1   3.50     334.19      41.08       0.00
     mol_0098_0001.xyz      1   3.50     317.92      30.82       0.00
     mol_0099_0001.xyz      1   3.50     408.01      32.22       0.00
     mol_0100_0001.xyz      1   3.50     331.40      34.97       0.00
     mol_0101_0001.xyz      1   3.50     416.83      33.36       0.00
     mol_0102_0001.xyz      1   3.50     287.56      37.11       0.00
     mol_0105_0001.xyz      1   3.50     317.83      34.64       0.00
     mol_0106_0001.xyz      1   3.50     288.40      36.11       0.00
     mol_0107_0001.xyz      1   3.50     232.83      46.38       0.00
     mol_0108_0001.xyz      1   3.50     417.36      36.17       0.00
     mol_0109_0001.xyz      1   3.50     283.25      44.88       0.00
     mol_0110_0001.xyz      1   3.50     394.43      32.23       0.00
     mol_0111_0001.xyz      1   3.50     337.72      32.47       0.00
     mol_0112_0001.xyz      1   3.50     380.46      46.54       0.00
     mol_0113_0001.xyz      1   3.50     414.90      37.35       0.00
     mol_0114_0001.xyz      1   3.50     445.60      37.96       0.00
     mol_0115_0001.xyz      1   3.50     301.29      38.66       0.00
     mol_0116_0001.xyz      1   3.50     326.08      37.58       0.00
     mol_0117_0001.xyz      1   3.50     338.70      32.76       0.00
     mol_0118_0001.xyz      1   3.50     302.73      36.33       0.00
