mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,355.266,64.406
mol_0004_0001.xyz,3,C,439.494,66.653
mol_0005_0001.xyz,7,C,409.683,73.529
mol_0006_0001.xyz,24,C,401.025,63.264
mol_0007_0001.xyz,4,C,434.967,62.117
mol_0008_0001.xyz,8,C,348.997,58.455
mol_0009_0001.xyz,31,C,606.027,74.152
mol_0011_0001.xyz,11,C,469.837,69.437
mol_0013_0001.xyz,7,C,495.02,62.17
mol_0014_0001.xyz,23,C,453.735,64.082
mol_0016_0001.xyz,4,C,414.495,57.894
mol_0021_0001.xyz,11,C,404.65,70.064
mol_0022_0001.xyz,16,C,492.144,59.097
mol_0025_0001.xyz,14,C,405.399,61.72
mol_0027_0001.xyz,18,C,422.74,76.795
mol_0028_0001.xyz,12,C,292.974,59.465
mol_0029_0001.xyz,8,C,433.82,66.267
mol_0030_0001.xyz,25,C,614.904,75.347
mol_0032_0001.xyz,3,C,424.213,75.851
mol_0033_0001.xyz,27,C,499.33,70.962
mol_0037_0001.xyz,23,C,470.456,53.303
mol_0038_0001.xyz,19,C,445.58,59.615
mol_0043_0001.xyz,24,C,572.763,89.297
mol_0047_0001.xyz,15,C,460.581,51.392
mol_0048_0001.xyz,9,C,395.679,95.178
mol_0049_0001.xyz,4,C,440.262,64.615
mol_0050_0001.xyz,14,C,469.595,67.297
mol_0051_0001.xyz,23,C,452.411,54.825
mol_0052_0001.xyz,22,C,443.97,60.587
mol_0054_0001.xyz,12,C,473.147,72.224
mol_0057_0001.xyz,9,C,293.948,65.727
mol_0058_0001.xyz,5,C,448.046,66.914
mol_0060_0001.xyz,18,C,358.707,82.676
mol_0062_0001.xyz,1,C,341.646,58.458
mol_0064_0001.xyz,16,C,497.994,67.03
mol_0068_0001.xyz,17,C,461.315,68.855
mol_0070_0001.xyz,5,C,469.639,76.568
mol_0075_0001.xyz,4,C,456.186,73.359
mol_0077_0001.xyz,12,C,469.01,66.152
mol_0078_0001.xyz,5,C,438.477,67.461
mol_0079_0001.xyz,13,C,439.561,62.833
mol_0080_0001.xyz,6,C,479.734,72.042
mol_0082_0001.xyz,2,C,474.632,74.602
mol_0085_0001.xyz,8,C,465.69,81.473
mol_0086_0001.xyz,2,C,426.362,67.23
mol_0088_0001.xyz,5,C,326.687,67.558
mol_0090_0001.xyz,14,C,498.765,77.178
mol_0091_0001.xyz,18,C,441.759,57.678
