
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Charry-Tkatchenko atomic radii will be scaled by 1.0
   Hydrogen atoms are included

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
   ------------------------------------------------------------------
     mol_0002_0001.xyz      1   3.50     345.67      53.24       0.00
     mol_0003_0001.xyz      1   3.50     358.92      42.33       0.00
     mol_0004_0001.xyz      1   3.50     436.94      47.07       0.00
     mol_0005_0001.xyz      1   3.50     414.50      55.99       0.00
     mol_0006_0001.xyz      1   3.50     403.36      44.10       0.00
     mol_0007_0001.xyz      1   3.50     432.98      48.54       0.00
     mol_0008_0001.xyz      1   3.50     347.34      46.02       0.00
     mol_0009_0001.xyz      1   3.50     606.09      48.85       0.00
     mol_0010_0001.xyz      1   3.50     414.47      48.49       0.00
     mol_0011_0001.xyz      1   3.50     472.63      45.28       0.00
     mol_0012_0001.xyz      1   3.50     405.29      53.63       0.00
     mol_0013_0001.xyz      1   3.50     497.91      53.33       0.00
     mol_0014_0001.xyz      1   3.50     456.04      52.43       0.00
     mol_0015_0001.xyz      1   3.50     477.74      56.02       0.00
     mol_0016_0001.xyz      1   3.50     418.08      48.57       0.00
     mol_0017_0001.xyz      1   3.50     525.35      45.08       0.00
     mol_0018_0001.xyz      1   3.50     449.67      46.21       0.00
     mol_0019_0001.xyz      1   3.50     440.14      60.85       0.00
     mol_0020_0001.xyz      1   3.50     452.64      56.07       0.00
     mol_0021_0001.xyz      1   3.50     407.06      60.05       0.00
