mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,290.714,58.464
mol_0004_0001.xyz,3,C,320.593,51.12
mol_0005_0001.xyz,7,C,302.04,59.113
mol_0006_0001.xyz,24,C,348.849,59.95
mol_0007_0001.xyz,4,C,364.259,55.85
mol_0008_0001.xyz,8,C,277.941,55.259
mol_0009_0001.xyz,31,C,492.9,60.809
mol_0011_0001.xyz,11,C,365.884,62.374
mol_0013_0001.xyz,7,C,413.344,57.76
mol_0014_0001.xyz,23,C,375.605,58.721
mol_0016_0001.xyz,4,C,357.981,51.494
mol_0021_0001.xyz,11,C,336.126,65.894
mol_0022_0001.xyz,16,C,370.206,46.874
mol_0025_0001.xyz,14,C,296.77,54.4
mol_0027_0001.xyz,18,C,346.94,71.28
mol_0028_0001.xyz,12,C,203.504,45.865
mol_0029_0001.xyz,8,C,348.686,49.238
mol_0030_0001.xyz,25,C,479.502,69.048
mol_0032_0001.xyz,3,C,339.031,69.709
mol_0033_0001.xyz,27,C,428.362,65.106
mol_0037_0001.xyz,23,C,422.825,47.44
mol_0038_0001.xyz,19,C,358.357,53.522
mol_0043_0001.xyz,24,C,439.659,71.113
mol_0047_0001.xyz,15,C,382.535,44.804
mol_0048_0001.xyz,9,C,265.601,78.825
mol_0049_0001.xyz,4,C,343.422,49.468
mol_0050_0001.xyz,14,C,379.946,63.995
mol_0051_0001.xyz,23,C,358.875,46.84
mol_0052_0001.xyz,22,C,364.89,56.831
mol_0054_0001.xyz,12,C,335.234,57.783
mol_0057_0001.xyz,9,C,250.473,63.012
mol_0058_0001.xyz,5,C,367.373,55.71
mol_0060_0001.xyz,18,C,276.413,78.989
mol_0062_0001.xyz,1,C,227.918,42.462
mol_0064_0001.xyz,16,C,422.91,61.055
mol_0068_0001.xyz,17,C,345.993,60.355
mol_0070_0001.xyz,5,C,343.381,65.213
mol_0075_0001.xyz,4,C,342.564,65.75
mol_0077_0001.xyz,12,C,372.412,62.349
mol_0078_0001.xyz,5,C,312.372,50.862
mol_0079_0001.xyz,13,C,333.536,54.13
mol_0080_0001.xyz,6,C,337.438,54.198
mol_0082_0001.xyz,2,C,381.231,69.236
mol_0085_0001.xyz,8,C,370.08,67.5
mol_0086_0001.xyz,2,C,349.171,60.066
mol_0088_0001.xyz,5,C,283.684,60.442
mol_0090_0001.xyz,14,C,364.039,66.795
mol_0091_0001.xyz,18,C,363.342,54.778
mol_0094_0001.xyz,22,C,367.961,55.758
mol_0095_0001.xyz,19,C,358.081,45.471
mol_0098_0001.xyz,15,C,360.049,57.425
mol_0100_0001.xyz,11,C,362.981,58.355
mol_0102_0001.xyz,11,C,302.999,57.422
mol_0105_0001.xyz,19,C,349.5,42.984
mol_0106_0001.xyz,5,C,320.897,67.301
mol_0110_0001.xyz,30,C,432.633,50.911
mol_0111_0001.xyz,22,C,364.175,58.449
mol_0112_0001.xyz,27,C,409.003,55.674
mol_0113_0001.xyz,20,C,460.818,64.763
mol_0114_0001.xyz,18,C,485.271,77.607
mol_0116_0001.xyz,3,C,355.326,66.101
mol_0117_0001.xyz,15,C,379.282,53.976
mol_0118_0001.xyz,5,C,337.933,73.851
mol_0119_0001.xyz,7,C,336.899,58.432
mol_0121_0001.xyz,6,C,287.269,46.387
mol_0122_0001.xyz,10,C,204.787,49.643
mol_0123_0001.xyz,13,C,361.158,58.628
mol_0124_0001.xyz,9,C,244.519,58.859
mol_0125_0001.xyz,19,C,362.418,63.175
mol_0130_0001.xyz,11,C,430.376,51.029
mol_0131_0001.xyz,5,C,345.982,66.842
mol_0132_0001.xyz,23,C,445.658,54.051
mol_0134_0001.xyz,22,C,353.574,59.151
mol_0136_0001.xyz,11,C,228.801,60.321
mol_0137_0001.xyz,1,C,333.559,36.905
mol_0138_0001.xyz,6,C,226.932,69.024
mol_0141_0001.xyz,17,C,347.816,37.794
mol_0143_0001.xyz,11,C,269.59,73.475
mol_0144_0001.xyz,6,C,339.022,66.377
mol_0147_0001.xyz,18,C,338.234,49.553
mol_0150_0001.xyz,9,C,395.764,65.387
mol_0151_0001.xyz,19,C,287.994,60.644
mol_0152_0001.xyz,13,C,461.08,61.55
mol_0155_0001.xyz,20,C,344.532,44.843
mol_0160_0001.xyz,18,C,277.553,62.986
mol_0163_0001.xyz,4,C,412.347,69.958
mol_0165_0001.xyz,25,C,429.345,61.104
mol_0167_0001.xyz,18,C,302.475,61.774
mol_0170_0001.xyz,22,C,345.271,50.477
mol_0173_0001.xyz,3,C,288.698,48.525
mol_0175_0001.xyz,18,C,345.95,62.857
mol_0177_0001.xyz,13,C,325.405,51.351
mol_0180_0001.xyz,20,C,416.225,71.712
mol_0181_0001.xyz,19,C,369.043,45.892
mol_0183_0001.xyz,1,C,272.614,41.699
mol_0184_0001.xyz,12,C,355.587,64.343
mol_0187_0001.xyz,20,C,445.817,58.554
mol_0190_0001.xyz,26,C,357.84,61.534
mol_0202_0001.xyz,14,C,362.204,54.936
mol_0203_0001.xyz,19,C,379.722,55.846
mol_0204_0001.xyz,14,C,362.169,50.139
mol_0205_0001.xyz,21,C,426.801,49.685
mol_0210_0001.xyz,12,C,365.654,46.059
mol_0211_0001.xyz,5,C,326.854,53.238
mol_0212_0001.xyz,18,C,335.633,46.606
mol_0215_0001.xyz,5,C,266.627,49.038
mol_0216_0001.xyz,22,C,363.716,58.798
mol_0218_0001.xyz,27,C,377.932,50.499
mol_0219_0001.xyz,22,C,376.416,51.245
mol_0220_0001.xyz,8,C,322.398,61.998
mol_0221_0001.xyz,5,C,278.969,78.681
mol_0222_0001.xyz,26,C,421.203,52.06
mol_0225_0001.xyz,6,C,458.091,74.233
mol_0226_0001.xyz,21,C,392.166,49.294
mol_0231_0001.xyz,7,C,408.533,70.811
mol_0236_0001.xyz,3,C,366.554,51.367
mol_0239_0001.xyz,16,C,420.216,65.619
mol_0242_0001.xyz,20,C,360.417,52.776
mol_0243_0001.xyz,10,C,273.822,44.931
mol_0245_0001.xyz,2,C,421.149,52.742
mol_0246_0001.xyz,16,C,354.229,62.279
mol_0248_0001.xyz,12,C,238.291,45.998
mol_0251_0001.xyz,6,C,397.345,49.345
mol_0253_0001.xyz,12,C,278.046,51.106
mol_0254_0001.xyz,1,C,491.609,35.42
mol_0256_0001.xyz,9,C,332.959,60.854
mol_0257_0001.xyz,2,C,322.501,45.495
