
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Bondi atomic radii will be scaled by 1.17
   Hydrogen atoms are excluded

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
   ------------------------------------------------------------------
     mol_0002_0001.xyz      1   3.50     302.01      45.72       0.00
     mol_0003_0001.xyz      1   3.50     291.05      35.26       0.00
     mol_0004_0001.xyz      1   3.50     321.11      34.84       0.00
     mol_0005_0001.xyz      1   3.50     305.72      45.05       0.00
     mol_0006_0001.xyz      1   3.50     350.95      34.47       0.00
     mol_0007_0001.xyz      1   3.50     366.00      47.78       0.00
     mol_0008_0001.xyz      1   3.50     279.23      35.98       0.00
     mol_0009_0001.xyz      1   3.50     492.88      39.64       0.00
     mol_0010_0001.xyz      1   3.50     339.64      37.49       0.00
     mol_0011_0001.xyz      1   3.50     368.13      35.88       0.00
     mol_0012_0001.xyz      1   3.50     301.74      46.25       0.00
     mol_0013_0001.xyz      1   3.50     415.96      41.43       0.00
     mol_0014_0001.xyz      1   3.50     377.66      40.87       0.00
     mol_0015_0001.xyz      1   3.50     342.05      44.20       0.00
     mol_0016_0001.xyz      1   3.50     356.81      37.53       0.00
     mol_0017_0001.xyz      1   3.50     431.78      35.39       0.00
     mol_0018_0001.xyz      1   3.50     332.45      32.77       0.00
     mol_0019_0001.xyz      1   3.50     356.32      47.69       0.00
     mol_0020_0001.xyz      1   3.50     377.08      42.48       0.00
     mol_0021_0001.xyz      1   3.50     339.94      49.12       0.00
     mol_0022_0001.xyz      1   3.50     375.14      44.19       0.00
     mol_0023_0001.xyz      1   3.50     408.00      41.80       0.00
     mol_0024_0001.xyz      1   3.50     225.04      37.57       0.00
     mol_0025_0001.xyz      1   3.50     300.02      40.18       0.00
     mol_0026_0001.xyz      1   3.50     325.52      48.98       0.00
     mol_0027_0001.xyz      1   3.50     348.51      49.52       0.00
     mol_0028_0001.xyz      1   3.50     204.34      34.62       0.00
     mol_0029_0001.xyz      1   3.50     351.24      36.60       0.00
     mol_0030_0001.xyz      1   3.50     478.96      35.40       0.00
     mol_0031_0001.xyz      1   3.50     301.63      44.40       0.00
     mol_0032_0001.xyz      1   3.50     339.54      44.82       0.00
     mol_0033_0001.xyz      1   3.50     430.11      35.59       0.00
     mol_0034_0001.xyz      1   3.50     462.14      42.37       0.00
     mol_0035_0001.xyz      1   3.50     342.41      36.69       0.00
     mol_0036_0001.xyz      1   3.50     328.92      47.56       0.00
     mol_0037_0001.xyz      1   3.50     420.70      44.72       0.00
     mol_0038_0001.xyz      1   3.50     357.46      46.42       0.00
     mol_0039_0001.xyz      1   3.50     366.91      50.58       0.00
     mol_0040_0001.xyz      1   3.50     218.33      32.77       0.00
     mol_0041_0001.xyz      1   3.50     287.59      56.76       0.00
     mol_0042_0001.xyz      1   3.50     323.61      50.49       0.00
     mol_0043_0001.xyz      1   3.50     437.76      47.89       0.00
     mol_0044_0001.xyz      1   3.50     380.71      44.59       0.00
     mol_0045_0001.xyz      1   3.50     251.03      45.34       0.00
     mol_0046_0001.xyz      1   3.50     355.51      48.70       0.00
     mol_0047_0001.xyz      1   3.50     381.54      47.12       0.00
     mol_0048_0001.xyz      1   3.50     263.96      43.36       0.00
     mol_0049_0001.xyz      1   3.50     341.65      43.78       0.00
     mol_0050_0001.xyz      1   3.50     378.21      42.80       0.00
     mol_0051_0001.xyz      1   3.50     364.27      47.18       0.00
     mol_0052_0001.xyz      1   3.50     365.09      37.54       0.00
     mol_0054_0001.xyz      1   3.50     339.93      39.21       0.00
     mol_0055_0001.xyz      1   3.50     370.00      38.85       0.00
     mol_0056_0001.xyz      1   3.50     328.76      39.65       0.00
     mol_0057_0001.xyz      1   3.50     252.05      35.91       0.00
     mol_0058_0001.xyz      1   3.50     368.35      55.71       0.00
     mol_0059_0001.xyz      1   3.50     373.44      35.40       0.00
     mol_0060_0001.xyz      1   3.50     278.10      38.53       0.00
     mol_0061_0001.xyz      1   3.50     248.41      47.38       0.00
     mol_0062_0001.xyz      1   3.50     229.22      42.47       0.00
     mol_0063_0001.xyz      1   3.50     346.47      51.39       0.00
     mol_0064_0001.xyz      1   3.50     426.25      32.79       0.00
     mol_0065_0001.xyz      1   3.50     440.94      44.68       0.00
     mol_0066_0001.xyz      1   3.50     368.86      36.68       0.00
     mol_0067_0001.xyz      1   3.50     484.73      37.35       0.00
     mol_0068_0001.xyz      1   3.50     349.74      47.90       0.00
     mol_0069_0001.xyz      1   3.50     382.72      37.18       0.00
     mol_0070_0001.xyz      1   3.50     347.20      43.23       0.00
     mol_0071_0001.xyz      1   3.50     375.26      52.73       0.00
     mol_0072_0001.xyz      1   3.50     408.35      40.82       0.00
