mol_file,atom1_idx,element
mol_0003_0001.xyz,8,C
mol_0004_0001.xyz,3,C
mol_0005_0001.xyz,7,C
mol_0006_0001.xyz,24,C
mol_0007_0001.xyz,4,C
mol_0008_0001.xyz,8,C
mol_0009_0001.xyz,31,C
mol_0011_0001.xyz,11,C
mol_0013_0001.xyz,7,C
mol_0014_0001.xyz,23,C
mol_0016_0001.xyz,4,C
mol_0021_0001.xyz,11,C
mol_0022_0001.xyz,16,C
mol_0025_0001.xyz,14,C
mol_0027_0001.xyz,18,C
mol_0028_0001.xyz,12,C
mol_0029_0001.xyz,8,C
mol_0030_0001.xyz,25,C
mol_0032_0001.xyz,3,C
mol_0033_0001.xyz,27,C
mol_0037_0001.xyz,23,C
mol_0038_0001.xyz,19,C
mol_0043_0001.xyz,24,C
mol_0047_0001.xyz,15,C
mol_0048_0001.xyz,9,C
mol_0049_0001.xyz,4,C
mol_0050_0001.xyz,14,C
mol_0051_0001.xyz,23,C
mol_0052_0001.xyz,22,C
mol_0054_0001.xyz,12,C
mol_0057_0001.xyz,9,C
mol_0058_0001.xyz,5,C
mol_0060_0001.xyz,18,C
mol_0062_0001.xyz,1,C
mol_0064_0001.xyz,16,C
mol_0068_0001.xyz,17,C
mol_0070_0001.xyz,5,C
mol_0075_0001.xyz,4,C
mol_0077_0001.xyz,12,C
mol_0078_0001.xyz,5,C
mol_0079_0001.xyz,13,C
mol_0080_0001.xyz,6,C
mol_0082_0001.xyz,2,C
mol_0085_0001.xyz,8,C
mol_0086_0001.xyz,2,C
mol_0088_0001.xyz,5,C
mol_0090_0001.xyz,14,C
mol_0091_0001.xyz,18,C
mol_0094_0001.xyz,22,C
mol_0095_0001.xyz,19,C
mol_0098_0001.xyz,15,C
mol_0100_0001.xyz,11,C
mol_0102_0001.xyz,11,C
mol_0105_0001.xyz,19,C
mol_0106_0001.xyz,5,C
mol_0110_0001.xyz,30,C
mol_0111_0001.xyz,22,C
mol_0112_0001.xyz,27,C
mol_0113_0001.xyz,20,C
mol_0114_0001.xyz,18,C
mol_0116_0001.xyz,3,C
mol_0117_0001.xyz,15,C
mol_0118_0001.xyz,5,C
mol_0119_0001.xyz,7,C
mol_0121_0001.xyz,6,C
mol_0122_0001.xyz,10,C
mol_0123_0001.xyz,13,C
mol_0124_0001.xyz,9,C
mol_0125_0001.xyz,19,C
mol_0130_0001.xyz,11,C
mol_0131_0001.xyz,5,C
mol_0132_0001.xyz,23,C
mol_0134_0001.xyz,22,C
mol_0136_0001.xyz,11,C
mol_0137_0001.xyz,1,C
mol_0138_0001.xyz,6,C
mol_0141_0001.xyz,17,C
mol_0143_0001.xyz,11,C
mol_0144_0001.xyz,6,C
mol_0147_0001.xyz,18,C
mol_0150_0001.xyz,9,C
mol_0151_0001.xyz,19,C
mol_0152_0001.xyz,13,C
mol_0155_0001.xyz,20,C
mol_0160_0001.xyz,18,C
mol_0163_0001.xyz,4,C
mol_0165_0001.xyz,25,C
mol_0167_0001.xyz,18,C
mol_0170_0001.xyz,22,C
mol_0173_0001.xyz,3,C
mol_0175_0001.xyz,18,C
mol_0177_0001.xyz,13,C
mol_0180_0001.xyz,20,C
mol_0181_0001.xyz,19,C
mol_0183_0001.xyz,1,C
mol_0184_0001.xyz,12,C
mol_0187_0001.xyz,20,C
mol_0190_0001.xyz,26,C
mol_0202_0001.xyz,14,C
mol_0203_0001.xyz,19,C
mol_0204_0001.xyz,14,C
mol_0205_0001.xyz,21,C
mol_0210_0001.xyz,12,C
mol_0211_0001.xyz,5,C
mol_0212_0001.xyz,18,C
mol_0215_0001.xyz,5,C
mol_0216_0001.xyz,22,C
mol_0218_0001.xyz,27,C
mol_0219_0001.xyz,22,C
mol_0220_0001.xyz,8,C
mol_0221_0001.xyz,5,C
mol_0222_0001.xyz,26,C
mol_0225_0001.xyz,6,C
mol_0226_0001.xyz,21,C
mol_0231_0001.xyz,7,C
mol_0236_0001.xyz,3,C
mol_0239_0001.xyz,16,C
mol_0242_0001.xyz,20,C
mol_0243_0001.xyz,10,C
mol_0245_0001.xyz,2,C
mol_0246_0001.xyz,16,C
mol_0248_0001.xyz,12,C
mol_0251_0001.xyz,6,C
mol_0253_0001.xyz,12,C
mol_0254_0001.xyz,1,C
mol_0256_0001.xyz,9,C
mol_0257_0001.xyz,2,C
mol_0258_0001.xyz,3,C
mol_0259_0001.xyz,26,C
mol_0260_0001.xyz,7,C
mol_0263_0001.xyz,16,C
mol_0266_0001.xyz,17,C
mol_0267_0001.xyz,18,C
mol_0268_0001.xyz,8,C
mol_0275_0001.xyz,5,C
mol_0277_0001.xyz,12,C
