mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,0,59.241
mol_0004_0001.xyz,3,C,0,56.111
mol_0005_0001.xyz,7,C,0,63.897
mol_0006_0001.xyz,24,C,0,59.164
mol_0007_0001.xyz,4,C,0,55.713
mol_0008_0001.xyz,8,C,0,54.66
mol_0009_0001.xyz,31,C,0,65.426
mol_0011_0001.xyz,11,C,0,64.125
mol_0013_0001.xyz,7,C,0,57.288
mol_0014_0001.xyz,23,C,0,58.791
mol_0016_0001.xyz,4,C,0,51.681
mol_0021_0001.xyz,11,C,0,66.436
mol_0022_0001.xyz,16,C,0,49.5
mol_0025_0001.xyz,14,C,0,55.41
mol_0027_0001.xyz,18,C,0,72.266
mol_0028_0001.xyz,12,C,0,49.172
mol_0029_0001.xyz,8,C,0,53.639
mol_0030_0001.xyz,25,C,0,71.122
mol_0032_0001.xyz,3,C,0,71.06
mol_0033_0001.xyz,27,C,0,66.198
mol_0037_0001.xyz,23,C,0,47.095
mol_0038_0001.xyz,19,C,0,53.996
mol_0043_0001.xyz,24,C,0,76.813
mol_0047_0001.xyz,15,C,0,44.213
mol_0048_0001.xyz,9,C,0,86.847
mol_0049_0001.xyz,4,C,0,54.163
mol_0050_0001.xyz,14,C,0,63.211
mol_0051_0001.xyz,23,C,0,47.78
mol_0052_0001.xyz,22,C,0,56.376
mol_0054_0001.xyz,12,C,0,62.264
mol_0057_0001.xyz,9,C,0,61.937
mol_0058_0001.xyz,5,C,0,58.131
mol_0060_0001.xyz,18,C,0,79.775
mol_0062_0001.xyz,1,C,0,47.803
mol_0064_0001.xyz,16,C,0,62.192
mol_0068_0001.xyz,17,C,0,62.379
mol_0070_0001.xyz,5,C,0,69.166
mol_0075_0001.xyz,4,C,0,67.993
mol_0077_0001.xyz,12,C,0,61.852
mol_0078_0001.xyz,5,C,0,55.873
mol_0079_0001.xyz,13,C,0,55.067
mol_0080_0001.xyz,6,C,0,60.729
mol_0082_0001.xyz,2,C,0,70.068
mol_0085_0001.xyz,8,C,0,72.58
mol_0086_0001.xyz,2,C,0,61.51
mol_0088_0001.xyz,5,C,0,61.6
mol_0090_0001.xyz,14,C,0,69.509
mol_0091_0001.xyz,18,C,0,52.624
mol_0094_0001.xyz,22,C,0,60.24
mol_0095_0001.xyz,19,C,0,49.081
mol_0098_0001.xyz,15,C,0,56.757
mol_0100_0001.xyz,11,C,0,61.569
mol_0102_0001.xyz,11,C,0,64.205
mol_0105_0001.xyz,19,C,0,42.153
mol_0106_0001.xyz,5,C,0,68.354
mol_0110_0001.xyz,30,C,0,50.549
mol_0111_0001.xyz,22,C,0,62.439
mol_0112_0001.xyz,27,C,0,55.82
mol_0113_0001.xyz,20,C,0,65.473
mol_0114_0001.xyz,18,C,0,78.171
mol_0116_0001.xyz,3,C,0,72.206
mol_0117_0001.xyz,15,C,0,54.748
mol_0118_0001.xyz,5,C,0,74.556
mol_0119_0001.xyz,7,C,0,60.827
mol_0121_0001.xyz,6,C,0,50.807
mol_0122_0001.xyz,10,C,0,48.472
mol_0123_0001.xyz,13,C,0,60.231
mol_0124_0001.xyz,9,C,0,57.559
mol_0125_0001.xyz,19,C,0,64.307
mol_0130_0001.xyz,11,C,0,50.234
mol_0131_0001.xyz,5,C,0,70.226
mol_0132_0001.xyz,23,C,0,54.428
mol_0134_0001.xyz,22,C,0,64.619
mol_0136_0001.xyz,11,C,0,63.255
mol_0137_0001.xyz,1,C,0,38.03
mol_0138_0001.xyz,6,C,0,73.328
mol_0141_0001.xyz,17,C,0,38.508
mol_0143_0001.xyz,11,C,0,83.133
mol_0144_0001.xyz,6,C,0,68.044
mol_0147_0001.xyz,18,C,0,48.197
mol_0150_0001.xyz,9,C,0,64.351
mol_0151_0001.xyz,19,C,0,60.09
mol_0152_0001.xyz,13,C,0,66.492
mol_0155_0001.xyz,20,C,0,48.839
mol_0160_0001.xyz,18,C,0,62.183
mol_0163_0001.xyz,4,C,0,71.391
mol_0165_0001.xyz,25,C,0,62.048
mol_0167_0001.xyz,18,C,0,60.875
mol_0170_0001.xyz,22,C,0,51.38
mol_0173_0001.xyz,3,C,0,48.107
mol_0175_0001.xyz,18,C,0,67.598
mol_0177_0001.xyz,13,C,0,49.853
mol_0180_0001.xyz,20,C,0,73.69
mol_0181_0001.xyz,19,C,0,46.028
mol_0183_0001.xyz,1,C,0,43.941
mol_0184_0001.xyz,12,C,0,69.763
mol_0187_0001.xyz,20,C,0,59.581
mol_0190_0001.xyz,26,C,0,60.945
mol_0202_0001.xyz,14,C,0,56.444
mol_0203_0001.xyz,19,C,0,54.554
mol_0204_0001.xyz,14,C,0,50.742
mol_0205_0001.xyz,21,C,0,48.748
mol_0210_0001.xyz,12,C,0,45.475
mol_0211_0001.xyz,5,C,0,52.559
mol_0212_0001.xyz,18,C,0,45.764
mol_0215_0001.xyz,5,C,0,47.291
mol_0216_0001.xyz,22,C,0,65.514
mol_0218_0001.xyz,27,C,0,50.931
mol_0219_0001.xyz,22,C,0,54.114
mol_0220_0001.xyz,8,C,0,64.149
mol_0221_0001.xyz,5,C,0,85.564
mol_0222_0001.xyz,26,C,0,52.414
mol_0225_0001.xyz,6,C,0,75.755
mol_0226_0001.xyz,21,C,0,47.885
mol_0231_0001.xyz,7,C,0,73.583
mol_0236_0001.xyz,3,C,0,51.813
mol_0239_0001.xyz,16,C,0,65.267
mol_0242_0001.xyz,20,C,0,51.102
mol_0243_0001.xyz,10,C,0,48.661
