mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,0,58.899
mol_0004_0001.xyz,3,C,0,55.935
mol_0005_0001.xyz,7,C,0,63.861
mol_0006_0001.xyz,24,C,0,58.841
mol_0007_0001.xyz,4,C,0,55.381
mol_0008_0001.xyz,8,C,0,54.186
mol_0009_0001.xyz,31,C,0,65.263
mol_0011_0001.xyz,11,C,0,63.871
mol_0013_0001.xyz,7,C,0,56.83
mol_0014_0001.xyz,23,C,0,58.521
mol_0016_0001.xyz,4,C,0,51.327
mol_0021_0001.xyz,11,C,0,65.961
mol_0022_0001.xyz,16,C,0,49.33
mol_0025_0001.xyz,14,C,0,55.12
mol_0027_0001.xyz,18,C,0,71.87
mol_0028_0001.xyz,12,C,0,49.01
mol_0029_0001.xyz,8,C,0,53.683
mol_0030_0001.xyz,25,C,0,70.632
mol_0032_0001.xyz,3,C,0,70.75
mol_0033_0001.xyz,27,C,0,65.955
mol_0037_0001.xyz,23,C,0,46.826
mol_0038_0001.xyz,19,C,0,53.63
mol_0043_0001.xyz,24,C,0,76.821
mol_0047_0001.xyz,15,C,0,44.074
mol_0048_0001.xyz,9,C,0,86.724
mol_0049_0001.xyz,4,C,0,54.543
mol_0050_0001.xyz,14,C,0,62.775
mol_0051_0001.xyz,23,C,0,47.654
mol_0052_0001.xyz,22,C,0,55.916
mol_0054_0001.xyz,12,C,0,62.17
mol_0057_0001.xyz,9,C,0,61.46
mol_0058_0001.xyz,5,C,0,57.962
mol_0060_0001.xyz,18,C,0,79.453
mol_0062_0001.xyz,1,C,0,47.77
mol_0064_0001.xyz,16,C,0,61.938
mol_0068_0001.xyz,17,C,0,62.113
mol_0070_0001.xyz,5,C,0,68.958
mol_0075_0001.xyz,4,C,0,67.602
mol_0077_0001.xyz,12,C,0,61.35
mol_0078_0001.xyz,5,C,0,55.852
mol_0079_0001.xyz,13,C,0,54.747
mol_0080_0001.xyz,6,C,0,60.699
mol_0082_0001.xyz,2,C,0,69.85
mol_0085_0001.xyz,8,C,0,72.405
mol_0086_0001.xyz,2,C,0,61.172
mol_0088_0001.xyz,5,C,0,61.053
mol_0090_0001.xyz,14,C,0,69.38
mol_0091_0001.xyz,18,C,0,52.376
mol_0094_0001.xyz,22,C,0,60.613
