name,n_conformers,pct_V_bur_boltz,pct_V_bur_min_E,pct_V_bur_min,pct_V_bur_max
fragment_00001,1,13.38,13.38,13.38,13.38
fragment_00002,1,15.68,15.68,15.68,15.68
fragment_00003,1,18.95,18.95,18.95,18.95
fragment_00004,2,22.16,22.16,22.15,22.16
fragment_00005,1,21.07,21.07,21.07,21.07
fragment_00006,1,24.55,24.55,24.55,24.55
fragment_00007,2,22.13,22.13,22.13,22.13
fragment_00008,1,20.43,20.43,20.43,20.43
fragment_00009,3,21.21,19.24,19.24,22.2
fragment_00010,1,21.45,21.45,21.45,21.45
fragment_00011,1,30.1,30.1,30.1,30.1
fragment_00012,2,22.14,22.14,22.14,22.14
fragment_00013,1,21.7,21.7,21.7,21.7
fragment_00014,1,18.36,18.36,18.36,18.36
fragment_00015,1,19.95,19.95,19.95,19.95
fragment_00016,4,23.76,23.56,23.56,26.71
fragment_00017,1,22.84,22.84,22.84,22.84
fragment_00018,1,19.17,19.17,19.17,19.17
fragment_00019,2,23.77,23.77,23.77,23.77
fragment_00020,1,20.76,20.76,20.76,20.76
fragment_00021,2,22.05,22.05,22.05,22.05
fragment_00022,5,25.21,24.73,24.06,27.14
fragment_00023,2,19.04,18.92,18.92,19.29
fragment_00024,2,24.96,24.96,24.96,28.07
fragment_00025,2,25.4,25.4,25.4,25.4
fragment_00026,1,16.45,16.45,16.45,16.45
fragment_00027,2,22.16,22.16,22.16,22.16
fragment_00028,2,22.03,22.03,22.03,22.03
fragment_00029,3,22.94,22.58,22.58,25.3
fragment_00030,2,22.17,22.17,22.17,22.17
fragment_00031,1,22.69,22.69,22.69,22.69
fragment_00032,2,17.17,17.19,16.79,17.19
fragment_00033,4,23.84,23.3,22.22,25.69
fragment_00034,3,20.2,21.57,19.16,21.57
fragment_00035,2,22.24,22.24,22.24,22.24
fragment_00036,1,24.57,24.57,24.57,24.57
fragment_00037,4,23.87,23.35,22.22,25.72
fragment_00038,2,22.13,22.14,22.13,22.14
