name,n_conformers,boltz_r2.5,min_E_r2.5,min_r2.5,max_r2.5,boltz_r3.5,min_E_r3.5,min_r3.5,max_r3.5,boltz_r4.5,min_E_r4.5,min_r4.5,max_r4.5,boltz_r5.5,min_E_r5.5,min_r5.5,max_r5.5,boltz_r6.5,min_E_r6.5,min_r6.5,max_r6.5,boltz_r7.5,min_E_r7.5,min_r7.5,max_r7.5,boltz_r8.5,min_E_r8.5,min_r8.5,max_r8.5
fragment_00001,1,26.07,26.07,26.07,26.07,13.38,13.38,13.38,13.38,6.29,6.29,6.29,6.29,3.45,3.45,3.45,3.45,2.09,2.09,2.09,2.09,1.36,1.36,1.36,1.36,0.93,0.93,0.93,0.93
fragment_00002,1,25.12,25.12,25.12,25.12,15.68,15.68,15.68,15.68,8.41,8.41,8.41,8.41,4.6,4.6,4.6,4.6,2.79,2.79,2.79,2.79,1.82,1.82,1.82,1.82,1.25,1.25,1.25,1.25
fragment_00003,1,28.78,28.78,28.78,28.78,18.95,18.95,18.95,18.95,10.29,10.29,10.29,10.29,5.64,5.64,5.64,5.64,3.42,3.42,3.42,3.42,2.22,2.22,2.22,2.22,1.53,1.53,1.53,1.53
fragment_00004,2,29.76,29.77,29.75,29.77,22.16,22.16,22.15,22.16,15.3,15.3,15.29,15.3,10.68,10.68,10.67,10.68,6.73,6.73,6.73,6.73,4.38,4.38,4.38,4.38,3.01,3.01,3.01,3.01
fragment_00005,1,29.26,29.26,29.26,29.26,21.07,21.07,21.07,21.07,12.67,12.67,12.67,12.67,6.95,6.95,6.95,6.95,4.21,4.21,4.21,4.21,2.74,2.74,2.74,2.74,1.88,1.88,1.88,1.88
fragment_00006,1,31.57,31.57,31.57,31.57,24.55,24.55,24.55,24.55,14.26,14.26,14.26,14.26,7.81,7.81,7.81,7.81,4.73,4.73,4.73,4.73,3.08,3.08,3.08,3.08,2.12,2.12,2.12,2.12
fragment_00007,2,29.72,29.72,29.72,29.72,22.13,22.13,22.13,22.13,15.29,15.29,15.29,15.29,10.68,10.68,10.68,10.68,7.07,7.07,7.07,7.07,4.69,4.69,4.69,4.69,3.22,3.22,3.22,3.22
fragment_00008,1,28.66,28.66,28.66,28.66,20.43,20.43,20.43,20.43,11.4,11.4,11.4,11.4,6.25,6.25,6.25,6.25,3.79,3.79,3.79,3.79,2.46,2.46,2.46,2.46,1.69,1.69,1.69,1.69
fragment_00009,3,30.09,28.85,28.85,30.72,21.21,19.24,19.24,22.2,13.22,12.0,12.0,13.84,7.8,7.77,7.77,7.82,4.73,4.73,4.73,4.74,3.08,3.08,3.08,3.08,2.12,2.12,2.12,2.12
fragment_00010,1,30.08,30.08,30.08,30.08,21.45,21.45,21.45,21.45,10.66,10.66,10.66,10.66,5.84,5.84,5.84,5.84,3.54,3.54,3.54,3.54,2.3,2.3,2.3,2.3,1.58,1.58,1.58,1.58
