name,n_conformers,pct_V_bur_boltz,pct_V_bur_min_E,pct_V_bur_min,pct_V_bur_max
fragment_00001,1,13.39,13.39,13.39,13.39
fragment_00002,1,15.43,15.43,15.43,15.43
fragment_00003,1,18.42,18.42,18.42,18.42
fragment_00004,1,21.67,21.67,21.67,21.67
fragment_00005,1,20.54,20.54,20.54,20.54
fragment_00006,1,23.71,23.71,23.71,23.71
fragment_00007,1,21.64,21.64,21.64,21.64
fragment_00008,2,20.19,20.18,20.18,20.2
fragment_00009,3,18.79,18.67,18.67,19.93
fragment_00010,1,21.33,21.33,21.33,21.33
fragment_00011,1,29.05,29.05,29.05,29.05
fragment_00012,1,21.64,21.64,21.64,21.64
fragment_00013,2,21.29,21.3,21.26,21.3
fragment_00014,1,18.18,18.18,18.18,18.18
fragment_00015,2,19.62,19.63,19.58,19.63
fragment_00016,4,22.93,22.93,22.51,24.79
fragment_00017,1,22.43,22.43,22.43,22.43
fragment_00018,1,18.93,18.93,18.93,18.93
fragment_00019,1,23.23,23.23,23.23,23.23
fragment_00020,2,20.48,20.47,20.47,20.52
fragment_00021,2,21.58,21.59,21.57,21.59
fragment_00022,3,23.85,23.5,23.5,25.26
fragment_00023,1,18.47,18.47,18.47,18.47
fragment_00024,6,24.08,24.08,24.08,26.47
fragment_00025,1,24.38,24.38,24.38,24.38
fragment_00026,1,16.33,16.33,16.33,16.33
fragment_00027,4,21.66,21.67,21.63,21.67
fragment_00028,1,21.55,21.55,21.55,21.55
fragment_00029,6,20.74,20.62,20.61,22.84
fragment_00030,4,21.67,21.68,21.63,21.68
fragment_00031,2,22.44,22.43,22.43,24.02
fragment_00032,1,17.03,17.03,17.03,17.03
fragment_00033,2,22.75,22.75,22.75,22.75
fragment_00034,3,18.8,18.79,18.79,20.08
fragment_00035,3,21.75,21.77,21.72,21.77
fragment_00036,1,23.62,23.62,23.62,23.62
fragment_00037,2,22.75,22.7,22.7,22.8
fragment_00038,1,21.65,21.65,21.65,21.65
fragment_00039,4,23.09,23.08,23.08,25.15
fragment_00040,2,19.06,19.05,19.05,19.1
fragment_00041,8,18.85,18.69,18.69,20.71
fragment_00042,2,21.1,21.11,21.06,21.11
fragment_00043,2,20.96,20.96,20.96,20.96
fragment_00044,2,20.27,20.28,20.27,20.28
fragment_00045,3,19.2,18.59,18.59,19.75
fragment_00046,1,23.21,23.21,23.21,23.21
fragment_00047,1,17.67,17.67,17.67,17.67
fragment_00048,3,19.59,19.49,19.49,19.76
fragment_00049,2,21.65,21.65,21.65,21.66
fragment_00050,1,21.68,21.68,21.68,21.68
fragment_00051,3,17.24,18.0,16.73,18.0
fragment_00052,4,21.63,21.65,21.6,21.65
fragment_00053,1,22.62,22.62,22.62,22.62
fragment_00054,1,21.67,21.67,21.67,21.67
fragment_00055,2,22.41,22.05,22.05,23.42
fragment_00056,2,18.82,18.81,18.81,18.84
fragment_00057,3,20.38,20.4,20.34,20.4
fragment_00058,4,21.65,21.67,21.62,21.67
fragment_00059,1,24.36,24.36,24.36,24.36
fragment_00060,1,24.61,24.61,24.61,24.61
fragment_00061,4,21.67,21.69,21.63,21.7
fragment_00062,1,19.35,19.35,19.35,19.35
fragment_00063,5,20.51,20.5,20.34,22.43
fragment_00064,1,18.03,18.03,18.03,18.03
fragment_00065,4,19.91,20.0,19.6,20.08
fragment_00066,3,24.08,23.6,23.6,24.67
fragment_00067,1,24.47,24.47,24.47,24.47
fragment_00068,5,23.94,23.93,23.93,26.1
fragment_00069,5,24.43,24.21,24.21,26.4
fragment_00070,3,24.39,24.21,24.21,26.22
fragment_00071,4,21.66,21.66,21.62,21.68
fragment_00072,1,18.01,18.01,18.01,18.01
fragment_00073,4,21.64,21.65,21.61,21.65
fragment_00074,1,24.54,24.54,24.54,24.54
fragment_00075,1,22.64,22.64,22.64,22.64
fragment_00076,1,21.62,21.62,21.62,21.62
fragment_00077,3,24.09,23.6,23.6,24.67
fragment_00078,9,19.14,18.95,18.95,20.92
fragment_00079,3,20.01,20.02,19.99,20.02
fragment_00080,2,21.7,21.7,21.67,21.7
fragment_00081,12,24.24,24.29,23.42,25.99
fragment_00082,1,23.23,23.23,23.23,23.23
fragment_00083,2,20.41,20.38,20.38,20.45
fragment_00084,5,22.31,22.18,22.18,24.67
fragment_00085,2,20.56,20.56,20.5,20.56
