name,n_conformers,boltz_r2.5,min_E_r2.5,min_r2.5,max_r2.5,boltz_r3.5,min_E_r3.5,min_r3.5,max_r3.5,boltz_r4.5,min_E_r4.5,min_r4.5,max_r4.5,boltz_r5.5,min_E_r5.5,min_r5.5,max_r5.5,boltz_r6.5,min_E_r6.5,min_r6.5,max_r6.5,boltz_r7.5,min_E_r7.5,min_r7.5,max_r7.5,boltz_r8.5,min_E_r8.5,min_r8.5,max_r8.5
fragment_00001,1,25.71,25.71,25.71,25.71,13.39,13.39,13.39,13.39,6.3,6.3,6.3,6.3,3.45,3.45,3.45,3.45,2.09,2.09,2.09,2.09,1.36,1.36,1.36,1.36,0.93,0.93,0.93,0.93
fragment_00002,1,24.23,24.23,24.23,24.23,15.43,15.43,15.43,15.43,8.4,8.4,8.4,8.4,4.6,4.6,4.6,4.6,2.79,2.79,2.79,2.79,1.81,1.81,1.81,1.81,1.25,1.25,1.25,1.25
fragment_00003,1,27.67,27.67,27.67,27.67,18.42,18.42,18.42,18.42,10.27,10.27,10.27,10.27,5.64,5.64,5.64,5.64,3.41,3.41,3.41,3.41,2.22,2.22,2.22,2.22,1.53,1.53,1.53,1.53
fragment_00004,1,28.79,28.79,28.79,28.79,21.67,21.67,21.67,21.67,15.06,15.06,15.06,15.06,10.6,10.6,10.6,10.6,6.73,6.73,6.73,6.73,4.38,4.38,4.38,4.38,3.01,3.01,3.01,3.01
fragment_00005,1,28.17,28.17,28.17,28.17,20.54,20.54,20.54,20.54,12.65,12.65,12.65,12.65,6.95,6.95,6.95,6.95,4.21,4.21,4.21,4.21,2.74,2.74,2.74,2.74,1.88,1.88,1.88,1.88
fragment_00006,1,30.0,30.0,30.0,30.0,23.71,23.71,23.71,23.71,14.23,14.23,14.23,14.23,7.81,7.81,7.81,7.81,4.73,4.73,4.73,4.73,3.08,3.08,3.08,3.08,2.11,2.11,2.11,2.11
fragment_00007,1,28.76,28.76,28.76,28.76,21.64,21.64,21.64,21.64,15.06,15.06,15.06,15.06,10.6,10.6,10.6,10.6,7.05,7.05,7.05,7.05,4.69,4.69,4.69,4.69,3.22,3.22,3.22,3.22
fragment_00008,2,28.06,28.05,28.05,28.07,20.19,20.18,20.18,20.2,11.4,11.4,11.4,11.4,6.25,6.25,6.25,6.25,3.78,3.78,3.78,3.79,2.46,2.46,2.46,2.46,1.69,1.69,1.69,1.69
fragment_00009,3,27.72,27.69,27.69,28.01,18.79,18.67,18.67,19.93,11.95,11.84,11.84,12.97,7.74,7.73,7.73,7.82,4.73,4.73,4.73,4.74,3.08,3.08,3.08,3.09,2.12,2.12,2.12,2.12
fragment_00010,1,29.61,29.61,29.61,29.61,21.33,21.33,21.33,21.33,10.67,10.67,10.67,10.67,5.84,5.84,5.84,5.84,3.54,3.54,3.54,3.54,2.3,2.3,2.3,2.3,1.58,1.58,1.58,1.58
