,ligand,enthalpy,TEP,v_bur_2.0,s_bur_2.0,v_bur_2.5,s_bur_2.5,v_bur_3.0,s_bur_3.0,v_bur_3.5,s_bur_3.5,v_bur_4.0,s_bur_4.0,v_bur_1.5,s_bur_1.5
0,L1,21.7,2059.99,22.231125356125357,21.58491457365562,22.03582162792124,22.001622800344844,21.922051725380015,21.048845406805263,21.156524742876883,18.506166136663307,19.80682036361488,15.561475248692641,23.2087005970998,22.287226633235825
1,L2,19.12,2063.87,22.99595874298812,24.262177077501395,23.68380707079999,23.81459506060145,23.29370790909252,21.52790095427294,22.136787853461485,18.628971793479664,20.46390602366806,15.535251986985122,22.77115275411698,22.503134141245297
2,L3,20.23,2066.15,22.472415447349483,22.40159045725646,22.77578434078572,23.069121152188245,22.723752036537483,21.86672354645479,21.966979345380004,19.342537294138936,20.584719216742585,15.961584972589488,23.443379481718143,22.405627524724892
3,L4,19.78,2058.72,22.753074739829707,23.73087485288348,23.343809888846305,23.550890004564128,23.090581367194858,21.56125845592183,22.000902109934902,18.697484423071952,20.444084618959803,15.632893068575479,22.655030509436642,22.447416074662208
4,L5,13.9,2082.59,24.105427473583095,25.471773230352735,25.38725805956873,27.32643643186774,26.191475866751233,26.685318174528216,25.944058280978478,24.144884821220817,24.788115912950108,20.27767881882595,24.37100213219616,23.3597994149603
5,L6,18.95,2068.56,23.295317402848177,24.159033638654456,23.756075869788553,23.6218875196511,23.26262281536831,21.24574296468901,21.951314595040127,18.148090695209287,20.250133351491833,15.527074139008121,23.155650319829423,22.99763198217022
6,L7,20.37,2059.0,22.58541591210914,23.45550576184379,23.138721942843123,23.26436431867742,22.78157840325785,21.091156999587362,21.610507135334537,18.190749502313917,19.99021194895155,15.377906976744185,22.713738834538493,22.217579050006965
7,L8,20.91,2059.07,22.295091876208897,22.27296398670032,22.53728369326978,22.696384197981644,22.379516716914907,21.331441197075574,21.54152949761312,18.73497246567905,20.12829495031678,15.788998374440585,22.968849783580502,22.329015183173144
8,L9,17.56,2072.02,22.489316239316242,23.168044077134986,23.9852738150023,26.875095085957707,25.306731910912823,26.76749532978876,25.44578447483497,24.374983841360944,24.5733025830957,20.655879920108134,23.61259148724508,22.41259228304778
9,L10,20.6,2058.06,22.560367493729036,22.564739838050187,22.722883810749924,22.98037425832953,22.66787515069385,21.597035632123355,21.77941455043847,18.728509010057138,20.21771715506258,15.288098064052821,22.934674790987675,22.586711241119932
10,L11,6.22,2045.8,24.15875495733686,31.671577606116113,29.196889999846647,34.902885541863185,31.278526553186918,33.362492189592075,31.886076584080364,32.51505985159906,31.897430515995563,31.406072219893407,19.940349382190032,23.533918373032456
11,L12,23.31,2058.1,21.75262302349638,18.330066640533126,19.386237871146744,16.0378315330392,17.62831294371758,14.179209949826868,15.9343933613656,11.777708834251143,14.10357282019003,8.884008784188461,23.623609438106712,22.433486558016437
12,L13,21.12,2054.11,22.124053371799494,22.15804986855732,22.46017997577839,22.790202342917993,22.394162924951893,21.58999982218745,21.706924494990282,19.16802399234727,20.355633486197284,15.902375723697345,22.91105121293801,22.140966708455213
13,L14,13.2,2058.51,24.660795048797905,27.72795216741405,26.01714539850016,26.37050560373244,25.489617691489453,23.039748916668152,23.886865176174403,19.136999405362083,21.770752230939692,16.169139347531306,21.612215909090907,24.850257696057945
14,L15,8.98,2055.35,25.85396334206141,28.734953976870425,27.024581742344083,27.884274050408237,27.245604688332442,27.05905274717489,26.953053186333225,26.21706869360635,26.643920826597732,25.779708247800947,21.90428855438796,27.47597158378604
15,L16,8.16,2050.56,23.353239232718064,27.816873250699718,26.260922888241605,29.240833713677166,27.100784054580203,26.739730909738928,26.28495042887379,22.91682825305722,24.63026380160313,19.93079584775086,21.47160983908698,22.294191391558712
16,L17,19.6,2058.56,22.859198848644755,22.632959694729312,22.891787898762892,22.960089254018964,22.75234098664457,21.643835616438352,21.844043546571875,18.865534269241707,20.377744822758036,15.988576009620203,23.367794929896615,22.77475971583786
17,L18,19.6,2060.02,22.804741938403062,23.566369202449078,23.303188228080934,23.388609970079617,22.95881964325039,21.20876415558838,21.792351430974087,18.41826314020528,20.187146653417347,15.490388662831487,23.148279280555162,22.384733249756234
18,L19,22.18,2034.55,21.041691412281743,20.761545118401383,21.248313504231568,21.644099599371163,21.255439277879674,20.540152534768954,20.5998205998206,18.056309625378113,19.238521836506155,15.001093809040828,21.709498793127928,21.479314667781026
19,L20,19.86,2055.18,22.638671817404383,23.376420510016793,23.305942233396703,24.51442770931589,23.959898404521716,24.697129195139798,23.912171646280328,22.655704645931902,23.01492941636818,19.780539132177573,22.85916991841078,22.433486558016437
20,L21,22.61,2057.53,21.9040365575019,18.61359679313277,19.68502729558977,16.643846036817283,18.007413611819008,14.640653067031852,16.28787667838029,11.952222136042815,14.349263217856661,8.859179679699668,23.726046841731723,22.496169382922414
21,L22,19.54,2054.67,22.627781118460614,23.56010515414642,23.311313091059578,23.482428115015978,23.014452488446025,21.25390958203014,21.787793531853257,18.21918870705034,20.134193163603832,15.531416315831281,22.708540571266163,22.489204624599527
